timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
2090551720,2090550769,0,nan,nan,0.03718127,0.38993606,-0.19767734,0.032016408,0.38936266,-3.794374,0.0031780554,-0.0025174534,0.0015715896,0.0013935246,-7.533752e-05,0.00013903559,-0.0050008614,0.0074399225,0.0005412571,0.016040996,1.5036376,-0.0056786425,nan,0.1,0.047149733,0.03139323,0.07238391,0.043790214,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
2090561862,2090560772,0,nan,nan,0.037200537,0.38992062,-0.19767107,0.032016408,0.38936266,-3.794374,0.003106656,-0.0023364637,0.0015545544,0.0013700327,-7.533752e-05,0.00013903559,-0.0050008614,-0.01733173,0.017793864,-0.0054182517,1.5036485,-0.0056786425,nan,0.1,0.045207467,0.030241918,0.070587605,0.042851612,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
2091051734,2091051009,0,nan,nan,0.03819046,0.38939643,-0.19746527,0.032016408,0.38936266,-3.794374,0.0042793564,-0.0021462797,0.002241948,0.001710008,-7.533752e-05,0.00013903559,-0.0050008614,-0.00094196363,0.0083491625,0.017111361,1.5037564,-0.0056786425,nan,0.1,0.04550116,0.03043699,0.070780255,0.042955525,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
2091552097,2091551251,0,nan,nan,0.038868465,0.3893386,-0.1974748,0.032016408,0.38936266,-3.794374,0.004831703,-0.0025730582,0.000986198,0.00012525037,-7.533752e-05,0.00013903559,-0.0050008614,-0.027737226,-0.0059848716,-0.0042684507,1.5037861,-0.0056786425,nan,0.1,0.045150723,0.03018994,0.07075113,0.042921163,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
2092052278,2092051493,0,nan,nan,0.03896848,0.3894452,-0.19757092,0.032016408,0.38936266,-3.794374,0.0043905564,-0.001961232,0.0024249763,0.0013808137,-7.533752e-05,0.00013903559,-0.0050008614,-0.020160876,0.014413844,-0.0002236581,1.5037946,-0.0056786425,nan,0.1,0.044851117,0.030006321,0.070429616,0.042769745,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
2092552585,2092551737,0,nan,nan,0.039030936,0.38967046,-0.19734956,0.032016408,0.38936266,-3.794374,0.004806127,-0.0012941284,0.0020065936,0.00086576573,-7.533752e-05,0.00013903559,-0.0050008614,0.020105334,-0.008127785,-0.01849123,1.5035868,-0.0056786425,nan,0.1,0.044760782,0.029946057,0.07038575,0.04274584,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
2093052715,2093051978,0,nan,nan,0.038752448,0.38997722,-0.19754921,0.032016408,0.38936266,-3.794374,0.0037325355,-0.0010635343,0.00089888024,-0.00040911144,-7.533752e-05,0.00013903559,-0.0050008614,3.210958e-05,0.0065801465,-0.0054148696,1.503551,-0.0056786425,nan,0.1,0.044749286,0.029937029,0.07036521,0.042735685,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
2093553145,2093552220,0,nan,nan,0.038299657,0.3906057,-0.19813111,0.032016408,0.38936266,-3.794374,0.0032264513,0.00067798694,-0.000110617155,-0.0014277181,-7.533752e-05,0.00013903559,-0.0050008614,-0.0054003266,0.013890961,0.012169896,1.5034616,-0.0056786425,nan,0.1,0.044717066,0.029918449,0.07031815,0.042709928,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
2094053155,2094052463,0,nan,nan,0.03831452,0.39180803,-0.19860753,0.032016408,0.38936266,-3.794374,0.004726927,0.002024318,0.0002478869,-0.0008082714,-7.533752e-05,0.00013903559,-0.0050008614,0.0007741734,-0.02221288,0.011734162,1.5034516,-0.0056786425,nan,0.100135304,0.044736452,0.029928954,0.070332974,0.042716656,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
2094553455,2094552707,0,nan,nan,0.038990065,0.39250842,-0.19873296,0.032016408,0.38936266,-3.794374,0.005454239,0.0031896925,-0.00027167794,-0.0009834598,-7.533752e-05,0.00013903559,-0.0050008614,-0.026868938,-0.0037430173,0.0016908458,1.5033052,-0.0056786425,nan,0.10023967,0.044740476,0.02993187,0.0703283,0.04271433,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
