timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
111219689,0,0,158,169,97,38,81
112168692,0,0,158,170,97,34,65
113189770,0,0,158,170,96,39,57
114222659,0,0,157,169,97,34,61
115159690,0,0,158,169,97,37,59
116189659,0,0,157,168,97,43,63
117239119,0,0,159,170,95,36,62
118148682,0,0,159,170,100,41,63
119179922,0,0,159,170,99,38,57
120134659,0,0,156,170,99,41,66
121157660,0,0,158,170,100,39,61
122191680,0,0,157,169,100,37,60
123119565,0,0,157,170,100,37,67
124276686,0,0,158,170,100,34,79
125185780,0,0,155,169,97,39,60
126145657,0,0,157,169,100,36,66
127167045,0,0,155,168,97,39,67
128196110,0,0,156,168,98,36,70
129126729,0,0,158,169,99,38,67
130172735,0,0,158,169,94,39,60
131215695,0,0,157,169,87,39,58
132133878,0,0,157,168,100,40,73
133156661,0,0,157,169,100,37,60
134154722,0,0,158,168,94,41,58
135142656,0,0,158,170,100,38,71
136165838,0,0,158,171,93,39,59
137205661,0,0,158,168,100,38,56
138134166,0,0,158,170,100,36,60
139176029,0,0,157,166,100,37,81
140224019,0,0,158,169,100,35,56
141129661,0,0,156,169,96,40,65
142166999,0,0,158,169,100,38,66
143341898,0,0,157,169,86,40,59
144149953,0,0,158,169,90,39,76
145172655,0,0,161,160,96,38,58
146206931,0,0,158,165,97,41,63
147136679,0,0,162,171,100,40,61
148190717,0,0,172,183,93,39,65
149124656,0,0,165,177,100,41,59
150150718,0,0,165,170,100,44,65
151192661,0,0,169,179,97,40,93
152227677,0,0,166,169,96,38,61
153147665,0,0,170,185,99,38,61
154200324,0,0,168,176,96,44,60
155230661,0,0,167,174,100,37,75
156138656,0,0,169,171,97,40,59
157186659,0,0,154,176,95,38,61
158234692,0,0,160,161,97,41,71
159164345,0,0,158,175,99,39,80
160205040,0,0,161,169,95,40,61
161234493,0,0,160,174,100,39,62
162142662,0,0,159,165,100,38,72
163207727,0,0,154,167,97,42,60
164124659,0,0,165,174,100,39,64
165146211,0,0,164,176,100,44,64
166197681,0,0,165,180,100,40,54
167162701,0,0,164,173,89,41,62
168159662,0,0,166,175,97,43,73
169194973,0,0,156,173,100,37,59
170135691,0,0,157,165,100,48,60
171171662,0,0,168,180,91,43,66
172200661,0,0,163,176,100,41,74
173231762,0,0,159,171,97,46,59
174161693,0,0,155,167,100,41,84
175210037,0,0,154,163,93,37,73
176138693,0,0,152,161,100,37,60
177166663,0,0,154,163,96,40,63
178121634,0,0,151,161,100,36,61
179133769,0,0,153,162,100,39,63
180162679,0,0,153,166,100,37,61
181205915,0,0,150,161,97,37,57
182142752,0,0,150,157,100,43,55
