timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
111363923,0.00073938124,-0.0007954543,-0.00033603932,5002,0,-0.27167532,-0.2902402,-9.769447,5002,0
111368931,0.0005563405,-0.00044589862,-0.001544302,5008,0,-0.28571972,-0.32303426,-9.75581,5008,0
111373928,0.0006613009,-5.552666e-05,-0.0011335469,4997,0,-0.27666125,-0.30392715,-9.788119,4997,0
111378930,0.0013695891,-0.0014791971,0.0001676488,5002,0,-0.2933401,-0.29279312,-9.780474,5002,0
111383929,4.1781364e-05,4.5718825e-05,-0.00024827386,4999,0,-0.26126194,-0.31480238,-9.773463,4999,0
111388934,0.0015094518,-0.00065493793,-0.0022683768,5005,0,-0.27324942,-0.31511182,-9.783708,5005,0
111393935,0.0010364348,-0.00054602756,-0.00021090782,5001,0,-0.27363896,-0.29335752,-9.7842865,5001,0
111398938,-0.00042269393,0.00014566538,-0.0018880919,5003,0,-0.27879652,-0.33164254,-9.80725,5003,0
111403939,0.0007249793,-0.002239628,0.00025222276,5001,0,-0.25131235,-0.28300217,-9.789113,5001,0
111408940,0.0010984085,-0.0011402181,0.0002876657,5001,0,-0.2724144,-0.30985543,-9.781852,5001,0
111413940,0.0010214191,-0.0001476654,-0.0013921844,5000,0,-0.2755612,-0.29298988,-9.773678,5000,0
111418945,0.0014786649,-0.0010111547,-0.0021796678,5005,0,-0.25278643,-0.31446862,-9.776005,5005,0
111423945,0.00011566406,-0.0008286228,0.00013890819,5000,0,-0.2656168,-0.32191876,-9.771652,5000,0
111428949,0.00077446987,-0.0012936383,0.0008211963,5004,0,-0.26223558,-0.30195126,-9.7806225,5004,0
111433967,0.00073352497,-0.0006821387,-0.0006395523,5018,0,-0.26037687,-0.29002354,-9.778402,5018,0
111438954,-0.00012388206,-0.00042073108,0.0007322461,4987,0,-0.26787576,-0.30562755,-9.771234,4987,0
111443952,0.001124724,-0.0008661227,-0.00018584028,4998,0,-0.27229807,-0.29704642,-9.783779,4998,0
111448956,0.0014959836,-0.00014005225,-0.0011179607,5004,0,-0.27083132,-0.29904732,-9.785146,5004,0
111453955,0.0011447561,-0.00034006103,0.00027401838,4999,0,-0.26765788,-0.31627366,-9.778006,4999,0
111458970,0.00069869176,-0.0004727095,-0.00091114757,5015,0,-0.27008072,-0.31228247,-9.786853,5015,0
111463959,0.00012167625,-0.00027751498,-0.00039055594,4989,0,-0.29222038,-0.32433927,-9.758396,4989,0
111468965,-0.0003416736,0.00060757744,0.00043648214,5006,0,-0.25516453,-0.30518687,-9.777903,5006,0
111473966,0.0006218555,-0.0009791866,-0.0015736151,5001,0,-0.25822037,-0.30185527,-9.7793045,5001,0
111478965,0.00021699182,-0.00053014833,-0.0008648688,4999,0,-0.2728452,-0.3065233,-9.770906,4999,0
111483973,0.0012746169,0.00058597146,4.7078793e-06,5008,0,-0.28649658,-0.3139476,-9.806184,5008,0
111488971,-0.0008426089,-0.0009864506,-0.0012768743,4998,0,-0.26087022,-0.30849752,-9.777898,4998,0
111493972,-0.00029571907,-0.0006174889,-0.0018038908,5001,0,-0.25848714,-0.32179087,-9.780058,5001,0
111498973,0.00014608202,-0.0008193286,0.0011090416,5001,0,-0.2647907,-0.3050147,-9.775531,5001,0
111503977,0.00032960516,-0.0003635191,-0.0019927975,5004,0,-0.25563163,-0.29797584,-9.775936,5004,0
111508982,0.00033356267,-0.0007730047,-0.0013892582,5005,0,-0.2693584,-0.29651293,-9.771885,5005,0
111513983,-0.00090491306,-0.0008293767,-0.00060283765,5001,0,-0.24721725,-0.30732203,-9.781811,5001,0
111518983,0.00066372374,-0.0012611178,0.00023823208,5000,0,-0.2578575,-0.30448204,-9.770921,5000,0
111523990,-7.115878e-05,-0.00014572096,0.0006648472,5007,0,-0.2640665,-0.2963567,-9.782214,5007,0
111528985,-0.00012993981,3.7623344e-05,-2.2307822e-05,4995,0,-0.24203235,-0.2966025,-9.764588,4995,0
111533985,-0.00044868485,-0.00018928926,-0.00033197674,5000,0,-0.25413117,-0.3120424,-9.786171,5000,0
111538991,0.0003720435,-0.0015470734,0.0001540442,5006,0,-0.25033507,-0.29476988,-9.762802,5006,0
111543991,-0.0011971819,0.0009186233,0.00088650757,5000,0,-0.25838748,-0.31122366,-9.771119,5000,0
111549008,0.0014417724,-0.0010257756,-0.0006324021,5017,0,-0.2876313,-0.30153853,-9.766291,5017,0
111554011,0.00045718122,-0.002677154,0.0008833586,5003,0,-0.26957422,-0.28323296,-9.771746,5003,0
111558999,0.0005489879,-0.0028695697,-0.00050944445,4988,0,-0.26065668,-0.30903557,-9.787085,4988,0
111564048,0.0012170809,-0.0017151011,0.00036512068,5049,0,-0.26598322,-0.2716587,-9.787395,5049,0
111569005,3.7708065e-05,-0.0011363041,0.00018955556,4957,0,-0.25525305,-0.2948491,-9.763802,4957,0
111574005,0.0001260041,-0.00018293153,0.0004697047,5000,0,-0.28950834,-0.31304199,-9.79198,5000,0
111579003,-0.0002536852,-0.0020605922,-0.0013761304,4998,0,-0.25875828,-0.29169264,-9.772886,4998,0
111584005,0.00032955947,0.0009247602,-0.0010728183,5002,0,-0.25447527,-0.30427027,-9.777465,5002,0
111589008,0.000784698,0.00015283689,-0.00019480352,5003,0,-0.27743268,-0.2880393,-9.769021,5003,0
111594011,0.0011990095,0.00026752942,-0.00047640584,5003,0,-0.29231238,-0.3134002,-9.790002,5003,0
111599056,0.001888053,-0.00084963307,-0.0007615271,5045,0,-0.27127793,-0.30833036,-9.774761,5045,0
111604013,0.0016131935,-0.000983023,6.0858285e-05,4957,0,-0.25025767,-0.32563603,-9.803797,4957,0
111609028,0.0021017112,-0.0011625629,0.00046358354,5015,0,-0.26575404,-0.30326682,-9.79037,5015,0
111614017,0.0005713342,-0.0005151155,0.0002538823,4989,0,-0.2739468,-0.3254755,-9.771754,4989,0
111619020,-0.0008771978,0.00022165729,-0.00094981375,5003,0,-0.27848428,-0.2832178,-9.757614,5003,0
111624021,0.00060068665,-0.00057306455,-0.0029029239,5001,0,-0.274912,-0.30489194,-9.778355,5001,0
111629023,0.0012067624,-0.00057564455,-0.00047323166,5002,0,-0.28682062,-0.2976312,-9.7809105,5002,0
111634027,0.0010598656,-0.0003188104,0.00010223367,5004,0,-0.26343334,-0.2902699,-9.800768,5004,0
111639028,0.0021089725,-0.00088613783,-0.0024537968,5001,0,-0.26377428,-0.32674274,-9.783708,5001,0
111644044,0.001350692,-0.0011143541,-0.0006946812,5016,0,-0.25862986,-0.3241874,-9.78725,5016,0
111649031,0.00088146847,-0.00093525165,-6.430302e-05,4987,0,-0.2586793,-0.3034451,-9.789436,4987,0
111654036,0.0007979234,-0.0023414888,-0.0023980178,5005,0,-0.28330478,-0.30255443,-9.78813,5005,0
111659039,0.0011003426,-0.0006465268,-0.0014610657,5003,0,-0.22399195,-0.3113286,-9.797261,5003,0
111664036,0.0010141846,-0.00073232746,0.0002825705,4997,0,-0.26023492,-0.29307437,-9.778155,4997,0
