timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_x[3],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_y[3],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_frequencies_z[3],peak_magnitude_x[0],peak_magnitude_x[1],peak_magnitude_x[2],peak_magnitude_x[3],peak_magnitude_y[0],peak_magnitude_y[1],peak_magnitude_y[2],peak_magnitude_y[3],peak_magnitude_z[0],peak_magnitude_z[1],peak_magnitude_z[2],peak_magnitude_z[3],total_energy[0],total_energy[1],total_energy[2]
111233055,111231371,3932170,7999.1177,7.8116384,85.928024,nan,nan,nan,39.058193,132.74298,178.94858,nan,39.058193,56.091698,nan,nan,10.0,nan,nan,nan,10.0,10.0,10.0,nan,16.0,10.0,nan,nan,319.0,173.0,181.0
111491009,111490222,3932170,7999.1177,7.8116384,46.86983,nan,nan,nan,39.058193,132.74298,178.94858,nan,39.058193,56.091698,nan,nan,10.0,nan,nan,nan,10.0,10.0,10.0,nan,16.0,10.0,nan,nan,323.0,173.0,181.0
111496174,111492721,3932170,7999.1177,7.8116384,46.86983,nan,nan,nan,39.058193,nan,nan,nan,46.86983,nan,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,16.0,nan,nan,nan,323.0,156.0,189.0
111526262,111522735,3932170,7999.1177,7.8116384,171.85605,nan,nan,nan,133.51697,179.72256,nan,nan,46.86983,nan,nan,nan,10.0,nan,nan,nan,10.0,10.0,nan,nan,16.0,nan,nan,nan,359.0,178.0,189.0
111590670,111589008,3932170,7999.1177,7.8116384,46.86983,85.928024,164.09927,nan,nan,nan,nan,nan,55.553085,85.60957,nan,nan,16.0,10.0,10.0,nan,nan,nan,nan,nan,16.0,10.0,nan,nan,311.0,175.0,177.0
111622087,111620269,3932170,7999.1177,7.8116384,46.86983,164.0444,nan,nan,nan,nan,nan,nan,147.7569,nan,nan,nan,17.0,10.0,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,320.0,166.0,174.0
111682319,111681543,3932170,7999.1177,7.8116384,39.058193,54.68147,nan,nan,55.400585,nan,nan,nan,62.811554,nan,nan,nan,16.0,16.0,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,326.0,153.0,185.0
111720135,111716559,3932170,7999.1177,7.8116384,nan,nan,nan,nan,54.68147,nan,nan,nan,85.928024,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,343.0,147.0,187.0
111781864,111777832,3932170,7999.1177,7.8116384,78.11639,nan,nan,nan,38.39395,nan,nan,nan,58.592876,78.06151,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,17.0,10.0,nan,nan,314.0,153.0,186.0
111846485,111844107,3932170,7999.1177,7.8116384,nan,nan,nan,nan,46.15071,nan,nan,nan,109.36294,172.52028,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,10.0,10.0,nan,nan,318.0,170.0,185.0
111877568,111876620,3932170,7999.1177,7.8116384,nan,nan,nan,nan,148.36626,nan,nan,nan,62.811554,125.332016,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,10.0,10.0,nan,nan,322.0,162.0,170.0
111941270,111940395,3932170,7999.1177,7.8116384,nan,nan,nan,nan,38.39395,nan,nan,nan,39.058193,54.531418,93.73966,nan,nan,nan,nan,nan,10.0,nan,nan,nan,17.0,10.0,10.0,nan,316.0,151.0,201.0
111976348,111972908,3932170,7999.1177,7.8116384,71.023865,nan,nan,nan,156.897,179.00345,nan,nan,62.493107,140.6095,nan,nan,10.0,nan,nan,nan,10.0,10.0,nan,nan,16.0,10.0,nan,nan,339.0,160.0,184.0
112040367,112036682,3932170,7999.1177,7.8116384,54.68147,93.73966,117.49302,nan,nan,nan,nan,nan,54.68147,67.89877,78.11639,nan,16.0,10.0,10.0,nan,nan,nan,nan,nan,16.0,10.0,10.0,nan,326.0,183.0,199.0
112071662,112069246,3932170,7999.1177,7.8116384,nan,nan,nan,nan,nan,nan,nan,nan,74.6547,86.24647,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,10.0,nan,nan,352.0,139.0,194.0
112136230,112132969,3932170,7999.1177,7.8116384,nan,nan,nan,nan,nan,nan,nan,nan,101.49642,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,310.0,160.0,174.0
112166205,112164292,3932170,7999.1177,7.8116384,54.68147,100.88706,nan,nan,39.058193,117.174576,nan,nan,39.058193,nan,nan,nan,16.0,10.0,nan,nan,10.0,10.0,nan,nan,16.0,nan,nan,nan,321.0,184.0,187.0
112232699,112229254,3932170,7999.1177,7.8116384,93.73966,nan,nan,nan,nan,nan,nan,nan,46.86983,70.96899,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,10.0,10.0,nan,nan,321.0,181.0,156.0
112371624,112369306,3932170,7999.1177,7.8116384,nan,nan,nan,nan,nan,nan,nan,nan,38.77371,71.07808,101.5513,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,10.0,10.0,nan,331.0,152.0,218.0
112399077,112398067,3932170,7999.1177,7.8116384,54.68147,nan,nan,nan,nan,nan,nan,nan,38.77371,71.07808,101.5513,nan,10.0,nan,nan,nan,nan,nan,nan,nan,17.0,10.0,10.0,nan,353.0,152.0,218.0
112433019,112431830,3932170,7999.1177,7.8116384,nan,nan,nan,nan,39.058193,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,312.0,159.0,189.0
112467490,112464341,3932170,7999.1177,7.8116384,59.03143,nan,nan,nan,46.86983,nan,nan,nan,46.86983,nan,nan,nan,17.0,nan,nan,nan,10.0,nan,nan,nan,16.0,nan,nan,nan,312.0,165.0,181.0
112500314,112496856,3932170,7999.1177,7.8116384,117.89369,nan,nan,nan,46.86983,nan,nan,nan,46.86983,nan,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,341.0,140.0,187.0
112562895,112560633,3932170,7999.1177,7.8116384,124.2671,nan,nan,nan,101.205505,nan,nan,nan,78.780624,140.6095,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,10.0,10.0,nan,nan,339.0,148.0,178.0
112593804,112590640,3932170,7999.1177,7.8116384,101.5513,171.85605,nan,nan,101.205505,nan,nan,nan,78.780624,140.6095,nan,nan,10.0,10.0,nan,nan,10.0,nan,nan,nan,10.0,10.0,nan,nan,313.0,148.0,178.0
112658150,112656916,3932170,7999.1177,7.8116384,139.94525,nan,nan,nan,39.058193,78.11639,100.832184,nan,46.86983,nan,nan,nan,10.0,nan,nan,nan,10.0,10.0,10.0,nan,16.0,nan,nan,nan,332.0,155.0,190.0
112723129,112720690,3932170,7999.1177,7.8116384,53.589684,nan,nan,nan,nan,nan,nan,nan,45.778046,40.149975,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,10.0,10.0,nan,nan,343.0,144.0,185.0
112756518,112753247,3932170,7999.1177,7.8116384,39.058193,nan,nan,nan,nan,nan,nan,nan,62.811554,179.00345,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,10.0,10.0,nan,nan,334.0,162.0,189.0
112820674,112816977,3932170,7999.1177,7.8116384,39.058193,nan,nan,nan,nan,nan,nan,nan,39.058193,54.68147,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,16.0,16.0,nan,nan,288.0,171.0,205.0
112852738,112849489,3932170,7999.1177,7.8116384,nan,nan,nan,nan,147.7569,nan,nan,nan,69.64051,133.51697,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,10.0,10.0,nan,nan,321.0,168.0,183.0
112914093,112913265,3932170,7999.1177,7.8116384,188.19843,nan,nan,nan,nan,nan,nan,nan,39.342674,56.437492,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,17.0,10.0,nan,nan,313.0,163.0,193.0
112948303,112945777,3932170,7999.1177,7.8116384,54.68147,nan,nan,nan,nan,nan,nan,nan,53.80985,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,355.0,156.0,187.0
113013091,113009552,3932170,7999.1177,7.8116384,nan,nan,nan,nan,nan,nan,nan,nan,54.68147,74.618614,93.075424,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,10.0,10.0,nan,304.0,166.0,198.0
113073253,113072124,3932170,7999.1177,7.8116384,39.058193,nan,nan,nan,187.47932,nan,nan,nan,46.86983,nan,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,324.0,176.0,182.0
113108254,113105839,3932170,7999.1177,7.8116384,46.86983,nan,nan,nan,nan,nan,nan,nan,46.86983,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,322.0,166.0,195.0
113171946,113169616,3932170,7999.1177,7.8116384,53.589684,47.961617,78.11639,nan,171.85605,nan,nan,nan,40.643,nan,nan,nan,10.0,10.0,10.0,nan,10.0,nan,nan,nan,9.0,nan,nan,nan,294.0,154.0,191.0
113202677,113199624,3932170,7999.1177,7.8116384,46.86983,78.11639,101.5513,nan,70.96899,nan,nan,nan,40.643,nan,nan,nan,16.0,10.0,10.0,nan,10.0,nan,nan,nan,9.0,nan,nan,nan,326.0,141.0,191.0
113268387,113265900,3932170,7999.1177,7.8116384,nan,nan,nan,nan,nan,nan,nan,nan,124.98621,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,270.0,179.0,167.0
113298911,113297163,3932170,7999.1177,7.8116384,55.553085,78.11639,nan,nan,nan,nan,nan,nan,39.058193,85.58223,nan,nan,16.0,10.0,nan,nan,nan,nan,nan,nan,17.0,10.0,nan,nan,343.0,165.0,182.0
113362256,113359686,3932170,7999.1177,7.8116384,55.120026,102.42291,139.94525,nan,62.493107,78.11639,nan,nan,54.68147,70.30475,nan,nan,17.0,16.0,10.0,nan,10.0,10.0,nan,nan,10.0,10.0,nan,nan,329.0,189.0,188.0
113393300,113392199,3932170,7999.1177,7.8116384,nan,nan,nan,nan,179.66768,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,301.0,171.0,179.0
113456819,113455973,3932170,7999.1177,7.8116384,62.493107,132.79785,156.17789,nan,46.86983,nan,nan,nan,39.058193,nan,nan,nan,10.0,10.0,10.0,nan,10.0,nan,nan,nan,16.0,nan,nan,nan,358.0,159.0,186.0
113523255,113520996,3932170,7999.1177,7.8116384,39.058193,187.45541,nan,nan,nan,nan,nan,nan,47.308388,nan,nan,nan,10.0,10.0,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,322.0,165.0,189.0
113554422,113553510,3932170,7999.1177,7.8116384,46.86983,172.52028,nan,nan,nan,nan,nan,nan,46.86983,116.45546,nan,nan,10.0,10.0,nan,nan,nan,nan,nan,nan,10.0,10.0,nan,nan,360.0,151.0,174.0
113619638,113617284,3932170,7999.1177,7.8116384,179.66768,nan,nan,nan,61.77399,nan,nan,nan,39.058193,110.02718,141.3286,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,10.0,10.0,10.0,nan,303.0,146.0,187.0
113650838,113647295,3932170,7999.1177,7.8116384,46.86983,147.7569,nan,nan,61.77399,nan,nan,nan,39.058193,110.02718,141.3286,nan,10.0,10.0,nan,nan,10.0,nan,nan,nan,10.0,10.0,10.0,nan,301.0,146.0,187.0
113682996,113681079,3932170,7999.1177,7.8116384,46.86983,nan,nan,nan,nan,nan,nan,nan,54.68147,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,314.0,153.0,170.0
113748290,113746084,3932170,7999.1177,7.8116384,54.68147,nan,nan,nan,179.66768,nan,nan,nan,35.15796,54.396984,86.70136,48.45464,10.0,nan,nan,nan,10.0,nan,nan,nan,17.0,17.0,10.0,9.0,324.0,172.0,191.0
113813138,113809859,3932170,7999.1177,7.8116384,nan,nan,nan,nan,62.493107,nan,nan,nan,32.11817,54.68147,nan,nan,nan,nan,nan,nan,9.0,nan,nan,nan,16.0,16.0,nan,nan,315.0,127.0,193.0
