timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
571348988,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589023352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592578835,0,0,0,0,0,0,0,0,1,0,0,0,0,0
592628684,0,0,0,0,0,0,0,0,1,0,0,0,0,0
592678942,0,0,0,0,0,0,0,0,1,0,0,0,0,0
592729030,0,0,0,0,0,0,0,0,1,0,0,0,0,0
592779847,0,0,0,0,0,0,0,0,1,0,0,0,0,0
592828987,0,0,0,0,0,0,0,0,1,0,0,0,0,0
592880162,0,0,0,0,0,0,0,0,1,0,0,0,0,0
592929673,0,0,0,0,0,0,0,0,1,0,0,0,0,0
592979029,0,0,0,0,0,0,0,0,1,0,0,0,0,0
593024763,0,0,0,0,0,0,0,0,1,0,0,0,0,0
593079147,0,0,0,0,0,0,0,0,1,0,0,0,0,0
593128870,0,0,0,0,0,0,0,0,1,0,0,0,0,0
593178882,0,0,0,0,0,0,0,0,1,0,0,0,0,0
593231583,0,0,0,0,0,0,0,0,1,0,0,0,0,0
593280043,0,0,0,0,0,0,0,0,1,0,0,0,0,0
593319501,0,0,0,0,0,0,0,0,1,0,0,0,0,0
593379470,0,0,0,0,0,0,0,0,1,0,0,0,0,0
593429533,0,0,0,0,0,0,0,0,1,0,0,0,0,0
593479820,0,0,0,0,0,0,0,0,1,0,0,0,0,0
593524885,0,0,0,0,0,0,0,0,1,0,0,0,0,0
593569912,0,0,0,0,0,0,0,0,1,0,0,0,0,0
593629146,0,0,0,0,0,0,0,0,1,0,0,0,0,0
593680354,0,0,0,0,0,0,0,0,1,0,0,0,0,0
593729339,0,0,0,0,0,0,0,0,1,0,0,0,0,0
593779952,0,0,0,0,0,0,0,0,1,0,0,0,0,0
593819307,0,0,0,0,0,0,0,0,1,0,0,0,0,0
593869248,0,0,0,0,0,0,0,0,1,0,0,0,0,0
593919747,0,0,0,0,0,0,0,0,1,0,0,0,0,0
593980066,0,0,0,0,0,0,0,0,1,0,0,0,0,0
594019898,0,0,0,0,0,0,0,0,1,0,0,0,0,0
594033943,0,0,0,0,0,0,0,0,1,0,0,0,0,0
