timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
563193751,0,0,155,166,97,41,64
564132980,0,0,153,160,100,41,77
565214715,0,0,153,167,100,37,54
566203662,0,0,153,166,100,39,55
567126664,0,0,150,166,100,43,62
568171405,0,0,152,164,100,38,76
569223655,0,0,145,164,94,35,61
570123673,0,0,150,163,97,37,88
571189854,0,0,152,164,100,40,67
572216655,0,0,153,167,100,41,65
573139655,0,0,153,161,100,40,60
574175765,0,0,153,164,99,40,64
575225660,0,0,153,169,100,44,63
576126667,0,0,160,172,100,45,63
577189659,0,0,154,166,98,40,60
578222718,0,0,160,173,100,41,60
579136662,0,0,153,170,100,43,61
580201120,0,0,153,159,96,40,67
581125161,0,0,163,177,98,38,73
582140904,0,0,158,172,97,41,61
583186817,0,0,155,165,100,46,58
584164667,0,0,155,169,100,43,60
585143690,0,0,153,165,100,39,57
586188664,0,0,159,164,100,38,64
587132653,0,0,154,168,100,41,78
588164985,0,0,164,170,94,36,59
589184659,0,0,158,166,98,39,59
590142713,0,0,162,170,96,47,62
591173754,0,0,154,164,98,38,57
592199665,0,0,149,162,92,39,60
593131673,0,0,146,157,100,36,59
594179743,0,0,146,149,96,41,61
595200762,0,0,146,154,96,40,84
596138113,0,0,144,162,100,44,64
597165662,0,0,149,156,100,39,50
598215191,0,0,150,161,98,40,67
