timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
564083185,564083073,4259850,4325386,2.1524202e-05,4.417601e-05,-5.7355433e-06,-0.0011104306,-0.0015586257,-0.042819846,4486,4369,0,2
564087703,564087580,4259850,4325386,9.223272e-07,1.3690861e-05,-2.9679873e-06,-0.0011824673,-0.001604268,-0.04277093,4507,4359,0,2
564584096,564583749,4259850,4325386,-1.6381468e-05,9.952467e-06,2.1459373e-06,-0.0011422248,-0.0016271578,-0.04088687,4521,4160,0,2
565084555,565084446,4259850,4325386,5.3100135e-05,3.249025e-05,7.0781393e-06,-0.0010072427,-0.0015296821,-0.04239278,4555,4344,0,2
565585430,565585324,4259850,4325386,4.854341e-05,4.644875e-06,-7.003455e-06,-0.0012367285,-0.0014868504,-0.042905144,4725,4369,0,2
566085839,566085734,4259850,4325386,-1.5303183e-05,-4.612085e-05,7.0088518e-06,-0.0010259169,-0.0017125683,-0.04285082,4519,4363,0,2
566586511,566586396,4259850,4325386,4.891318e-05,2.7114414e-05,3.1152922e-05,-0.0012107014,-0.0015780119,-0.04280012,4502,4362,0,2
567087194,567082546,4259850,4325386,-1.0437831e-05,6.94851e-06,8.203665e-06,-0.0011497273,-0.001558996,-0.04225796,4247,4314,0,2
567583641,567583458,4259850,4325386,4.465359e-06,4.0528626e-06,-1.120988e-05,-0.0017196041,-0.002050508,-0.05714312,4759,5817,0,2
568085537,568083960,4259850,4325386,2.0612588e-05,3.52217e-05,-3.0652678e-05,-0.0010856199,-0.0015222387,-0.04279133,4597,4365,0,2
568584649,568584538,4259850,4325386,6.9427224e-06,-6.5785594e-06,-2.2351922e-05,-0.001029909,-0.0015732525,-0.041720193,4451,4245,0,2
569085573,569085258,4259850,4325386,2.001117e-05,1.3600788e-05,-4.551769e-05,-0.0011638979,-0.0016129195,-0.04371148,4564,4446,0,2
569585979,569585869,4259850,4325386,-1.9153342e-05,-1.1022562e-06,-4.949055e-06,-0.0012198499,-0.0016015979,-0.04269486,4258,4366,0,2
570086861,570086758,4259850,4325386,4.58923e-05,4.4880104e-05,-2.7006903e-05,-0.0011664531,-0.0014969971,-0.042848695,4731,4361,0,2
570587348,570587246,4259850,4325386,8.28506e-06,1.935584e-05,1.7107954e-05,-0.0010408324,-0.0014258882,-0.042928427,4557,4362,0,2
571087973,571087866,4259850,4325386,1.42603785e-05,5.7554193e-05,-1.3186941e-05,-0.0010659357,-0.0017533136,-0.042834196,4463,4362,0,2
571584124,571584020,4259850,4325386,-2.8587529e-05,5.6767207e-05,-4.321081e-06,-0.0013628552,-0.0013333822,-0.04269817,4271,4438,0,2
572085034,572084919,4259850,4325386,9.060564e-05,0.00017716005,0.00045475952,-0.0013120844,-0.0024160352,-0.043124586,4744,4361,0,2
572585463,572585352,4259850,4325386,-2.3600183e-05,-8.318396e-05,0.00013639977,-0.0020289386,0.0009887478,-0.042325545,4510,4365,0,2
573082397,573081506,4259850,4325386,0.0002812279,6.667514e-05,5.0711486e-05,-0.0008366016,-0.002302449,-0.055561624,4508,5652,0,2
573587072,573586733,4259850,4325386,-0.00043892796,-9.133139e-05,-0.00011035925,-0.0018668291,-0.00045597547,-0.042130623,4561,4364,0,2
574087453,574087349,4259850,4325386,-0.0005335202,0.00034701978,-0.0015817661,-0.0024212801,-0.0008893291,-0.042959236,4278,4438,0,2
574588350,574588244,4259850,4325386,-0.00068377715,0.0006247192,-0.0023878168,-0.00056447723,-0.004541781,-0.041161504,4741,4366,0,2
575084273,575084170,4259850,4325386,0.0004375713,-9.596227e-05,-8.458571e-05,-0.00084287283,0.00074521697,-0.039603114,4510,4366,0,2
575584940,575584834,4259850,4325386,0.00051753665,-4.9654893e-05,0.00031540522,-0.0011376941,8.023479e-06,-0.042512584,4509,4365,0,2
576085604,576085502,4259850,4325386,0.00026169588,-9.088441e-05,0.00027873012,-0.0019322429,-0.0015446908,-0.040633257,4267,4435,0,2
576586507,576586391,4259850,4325386,-0.000721232,0.00045005884,0.00012076989,0.002438508,-0.0001179806,-0.043518487,4728,4363,0,2
577086943,577086836,4259850,4325386,-0.0009936827,7.868062e-06,7.721272e-05,0.0021058037,-0.0012953124,-0.042085897,4465,4365,0,2
577583879,577582990,4259850,4325386,-0.0008962031,0.00012538325,-0.00055214495,-0.0036987422,7.5940276e-05,-0.05393886,4463,5655,0,2
578088485,578088171,4259850,4325386,0.00015585194,0.00022555148,0.00024596995,2.144039e-05,-0.0010108863,-0.040949386,4514,4231,0,2
578584651,578584536,4259850,4325386,-0.0010349042,0.00022050395,0.0001764057,-0.0016233202,-0.00014229745,-0.03861981,4723,4361,0,2
579085094,579084989,4259850,4325386,-0.0010967848,0.00011559724,2.0280548e-05,-0.0011816586,-0.00163184,-0.042746086,4511,4364,0,2
579585808,579585702,4259850,4325386,0.00015112366,5.047913e-05,-6.0508133e-05,0.0003292511,-0.0010290154,-0.043880146,4558,4363,0,2
580086426,580086321,4259850,4325386,0.0010096906,-0.0001036866,-0.00012625882,-0.0027003111,-0.00284901,-0.042124525,4464,4362,0,2
580582856,580582697,4259850,4325386,0.0008848285,-0.0013935592,0.00010285262,-0.0029206865,-0.0047314665,-0.05650755,4683,5816,0,2
581083292,581083186,4259850,4325386,-6.466342e-05,4.337847e-05,6.565842e-05,-0.0025211312,0.000714088,-0.040584248,4547,4364,0,2
581588452,581583808,4259850,4325386,-0.0008123588,7.4813925e-06,-1.7689403e-05,-0.0021275736,0.0025550341,-0.043158196,4509,4363,0,2
582085311,582084487,4259850,4325386,-0.0004089644,0.00028938698,-3.828396e-05,-0.002800131,0.0013915406,-0.04417801,4501,4508,0,2
582585391,582585190,4259850,4325386,0.0006841516,7.526194e-05,2.8167711e-05,-0.0011991037,-0.00094924035,-0.040508617,4347,4183,0,2
583086120,583086007,4259850,4325386,0.00025925742,-0.0003157474,4.3534394e-05,-0.0021127895,-0.0018263488,-0.04352634,4662,4374,0,2
583586577,583586473,4259850,4325386,-0.0008216597,9.2894625e-05,-5.1459076e-05,-0.0032336728,0.003217395,-0.046968114,4511,4363,0,2
584087243,584087138,4259850,4325386,-0.0003488358,-0.0004894337,-4.54709e-05,-0.0027404712,0.001207237,-0.04452964,4503,4364,0,2
584587938,584587807,4259850,4325386,-0.00014329767,-0.00064113276,0.00020163096,-0.0013250135,3.4693e-05,-0.043983277,4513,4144,0,2
585088626,585088520,4259850,4325386,0.00090326095,0.00021713837,0.00013846139,-0.0016640013,-0.003685792,-0.04171548,4363,4377,0,2
585584780,585584674,4259850,4325386,0.0002321399,0.0014208041,-0.00026273335,-0.0016260771,-0.006502066,-0.042422116,4559,4581,0,2
586085397,586085291,4259850,4325386,0.0008534015,0.00024355363,-5.755611e-05,0.0018597118,0.002663583,-0.041531213,4463,4136,0,2
586586699,586585958,4259850,4325386,-0.0018772851,0.00054873334,0.00014222905,-0.00027114886,0.0004146076,-0.059428237,4511,5715,0,2
587086846,587086625,4259850,4325386,-0.002539546,-0.00016153403,0.00041516504,-0.0018642268,0.00024919029,-0.042958785,4318,4459,0,2
587587592,587587486,4259850,4325386,-0.001388545,-0.00062101317,9.1508584e-05,0.0021496946,-0.004099833,-0.04157105,4708,4363,0,2
588083550,588083444,4259850,4325386,-0.00029285369,-0.0005686238,-4.2816187e-05,-0.0016303074,-0.00097218604,-0.043080613,4510,4355,0,2
588584261,588584156,4259850,4325386,0.0019836284,-0.0018732059,-0.0002096232,0.0005996984,0.0025303476,-0.045018535,4556,4356,0,2
589084934,589084777,4259850,4325386,0.00012441643,0.00083295343,0.0009671461,-0.009588529,-0.0051297555,-0.045079086,4310,4336,0,2
589585808,589585644,4259850,4325386,0.0018887683,0.000113076516,-5.657851e-05,-0.0038484894,-0.0010875602,-0.049786497,4710,5879,0,2
590086228,590086110,4259850,4325386,-0.0018186861,-0.00064642524,5.4877906e-05,-0.0031407028,-0.001608779,-0.043448403,4492,4364,0,2
590586890,590586788,4259850,4325386,8.443626e-05,0.0005997006,2.9773708e-05,-0.000530449,-0.0021308048,-0.04393254,4528,4366,0,2
591088098,591087484,4259850,4325386,0.0006961271,-0.00067280635,0.00023655695,0.0005094256,-0.004378472,-0.042786065,4558,4363,0,2
591588437,591588103,4259850,4325386,0.0032072111,-0.002418577,0.00016315898,0.0010211788,-0.017642023,-0.01543315,4261,4115,0,2
592089059,592088952,4259850,4325386,0.00013881437,0.00049538753,5.171889e-05,-0.0014642488,-0.0012811666,-0.041372687,4695,4277,0,2
592585028,592584922,4259850,4325386,0.00035748136,0.00010403778,-0.00012616887,0.00036595052,-0.0030374667,-0.046260428,4511,4362,0,2
593085707,593085588,4259850,4325386,0.00020694513,4.0275027e-05,0.0004029866,0.0018176098,-0.002011906,-0.0467308,4504,4377,0,2
593586356,593586251,4259850,4325386,-0.00018935955,5.3031185e-05,-0.00051914895,0.0016410539,0.00072820013,-0.043822255,4311,4364,0,2
594087218,594087096,4259850,4325386,0.00035418794,-0.00015142256,0.0005922952,0.00074375386,-0.00011564162,-0.04352135,4692,4364,0,2
594587690,594587580,4259850,4325386,4.8422135e-05,-3.063536e-05,-2.2396116e-05,0.00033999272,-0.0009423709,-0.044080358,4461,4358,0,2
595084039,595083734,4259850,4325386,4.314266e-05,-0.00010698432,-3.5429603e-06,0.00033901562,-0.0007969784,-0.042986456,4462,4362,0,2
595584502,595584398,4259850,4325386,2.7306189e-05,3.6513564e-05,-3.9355773e-06,0.00030689698,-0.0010161181,-0.044112932,4312,4501,0,2
596085347,596085242,4259850,4325386,5.2284726e-05,1.9637127e-05,1.4825681e-05,0.0004728087,-0.0009816233,-0.041988455,4689,4267,0,2
596585833,596585727,4259850,4325386,6.6677167e-06,3.938405e-05,-5.808257e-06,0.00042459305,-0.00093979674,-0.04286598,4509,4362,0,2
597086544,597086438,4259850,4325386,1.2942272e-05,6.741695e-05,4.0295326e-06,0.0005600436,-0.00089577836,-0.042936184,4557,4363,0,2
597582701,597582592,4259850,4325386,-1.0315236e-05,4.4370656e-05,1.61297e-06,0.00042966075,-0.0009365856,-0.04528183,4366,4605,0,2
598083496,598083381,4259850,4325386,-4.9098635e-05,-9.862658e-06,9.061905e-06,0.0005684053,-0.00096961064,-0.04328472,4634,4401,0,2
598583987,598583875,4259850,4325386,2.879239e-05,2.4029232e-05,6.3599606e-07,0.0005348861,-0.0010018054,-0.042791907,4511,4358,0,2
599081022,599080029,4259850,4325386,1.9240453e-05,2.5277857e-06,-3.5685716e-05,0.00046424547,-0.0011841289,-0.057036754,4510,5822,0,2
