timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_x[3],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_y[3],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_frequencies_z[3],peak_magnitude_x[0],peak_magnitude_x[1],peak_magnitude_x[2],peak_magnitude_x[3],peak_magnitude_y[0],peak_magnitude_y[1],peak_magnitude_y[2],peak_magnitude_y[3],peak_magnitude_z[0],peak_magnitude_z[1],peak_magnitude_z[2],peak_magnitude_z[3],total_energy[0],total_energy[1],total_energy[2]
438231925,438228815,3932170,7997.867,7.810417,69.62962,140.58751,nan,nan,46.862503,nan,nan,nan,46.862503,78.76831,nan,nan,10.0,10.0,nan,nan,10.0,nan,nan,nan,16.0,10.0,nan,nan,315.0,150.0,207.0
438647221,438646437,3932170,7997.867,7.810417,46.862503,78.10417,nan,nan,46.862503,nan,nan,nan,nan,nan,nan,nan,10.0,10.0,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,289.0,150.0,180.0
438653725,438648938,3932170,7997.867,7.810417,46.862503,78.10417,nan,nan,140.53264,nan,nan,nan,55.544403,nan,nan,nan,10.0,10.0,nan,nan,10.0,nan,nan,nan,16.0,nan,nan,nan,289.0,171.0,154.0
438682609,438680200,3932170,7997.867,7.810417,nan,nan,nan,nan,nan,nan,nan,nan,46.862503,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,308.0,176.0,170.0
438747671,438745216,3932170,7997.867,7.810417,54.67292,77.44004,nan,nan,54.67292,nan,nan,nan,39.336525,55.544403,nan,nan,10.0,10.0,nan,nan,10.0,nan,nan,nan,17.0,16.0,nan,nan,316.0,171.0,198.0
438778340,438776475,3932170,7997.867,7.810417,54.67292,147.7338,nan,nan,132.83195,nan,nan,nan,39.052086,54.67292,nan,nan,10.0,10.0,nan,nan,10.0,nan,nan,nan,16.0,16.0,nan,nan,303.0,144.0,213.0
438843173,438838995,3932170,7997.867,7.810417,78.82317,nan,nan,nan,148.39792,nan,nan,nan,38.38795,nan,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,332.0,167.0,184.0
438872740,438871506,3932170,7997.867,7.810417,47.733986,nan,nan,nan,179.63959,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,323.0,159.0,163.0
438939140,438936524,3932170,7997.867,7.810417,39.052086,62.801735,171.7739,nan,nan,nan,nan,nan,55.11141,nan,nan,nan,17.0,10.0,10.0,nan,nan,nan,nan,nan,17.0,nan,nan,nan,303.0,165.0,166.0
438970080,438969035,3932170,7997.867,7.810417,54.67292,100.87129,nan,nan,nan,nan,nan,nan,39.052086,nan,nan,nan,17.0,10.0,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,318.0,163.0,165.0
439035067,439032802,3932170,7997.867,7.810417,54.660652,47.526638,nan,nan,nan,nan,nan,nan,54.67292,39.052086,46.862503,nan,17.0,10.0,nan,nan,nan,nan,nan,nan,17.0,16.0,9.0,nan,318.0,168.0,200.0
439098373,439096573,3932170,7997.867,7.810417,39.052086,54.67292,108.62684,nan,63.147476,nan,nan,nan,39.052086,63.147476,93.006004,nan,16.0,16.0,10.0,nan,10.0,nan,nan,nan,16.0,10.0,10.0,nan,335.0,167.0,187.0
439132619,439129084,3932170,7997.867,7.810417,54.67292,nan,nan,nan,46.862503,117.8204,nan,nan,32.11315,102.19956,nan,nan,10.0,nan,nan,nan,10.0,10.0,nan,nan,16.0,10.0,nan,nan,362.0,167.0,180.0
439195409,439192850,3932170,7997.867,7.810417,nan,nan,nan,nan,nan,nan,nan,nan,54.67292,100.44381,94.81662,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,10.0,10.0,nan,322.0,158.0,199.0
439228390,439225360,3932170,7997.867,7.810417,nan,nan,nan,nan,54.67292,132.72223,nan,nan,46.862503,nan,nan,nan,nan,nan,nan,nan,10.0,10.0,nan,nan,16.0,nan,nan,nan,317.0,183.0,196.0
439290302,439289130,3932170,7997.867,7.810417,62.483337,nan,nan,nan,nan,nan,nan,nan,46.862503,116.437256,187.10426,nan,10.0,nan,nan,nan,nan,nan,nan,nan,10.0,10.0,10.0,nan,324.0,157.0,169.0
439322240,439320387,3932170,7997.867,7.810417,39.052086,nan,nan,nan,nan,nan,nan,nan,188.11415,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,328.0,158.0,208.0
439388983,439385407,3932170,7997.867,7.810417,47.526638,46.198368,nan,nan,nan,nan,nan,nan,54.67292,nan,nan,nan,10.0,10.0,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,323.0,168.0,170.0
439417411,439416665,3932170,7997.867,7.810417,54.67292,nan,nan,nan,117.15626,nan,nan,nan,39.052086,nan,nan,nan,16.0,nan,nan,nan,10.0,nan,nan,nan,17.0,nan,nan,nan,308.0,177.0,180.0
439483440,439480433,3932170,7997.867,7.810417,93.725006,nan,nan,nan,39.052086,54.67292,nan,nan,62.801735,nan,nan,nan,10.0,nan,nan,nan,9.0,9.0,nan,nan,10.0,nan,nan,nan,330.0,132.0,164.0
439546590,439542952,3932170,7997.867,7.810417,46.862503,53.08836,nan,nan,nan,nan,nan,nan,39.052086,110.00998,nan,nan,17.0,9.0,nan,nan,nan,nan,nan,nan,10.0,10.0,nan,nan,327.0,163.0,169.0
439578595,439575462,3932170,7997.867,7.810417,132.74614,nan,nan,nan,63.202343,nan,nan,nan,39.052086,nan,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,16.0,nan,nan,nan,291.0,168.0,201.0
439643848,439640481,3932170,7997.867,7.810417,148.45279,nan,nan,nan,nan,nan,nan,nan,39.052086,179.63959,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,16.0,10.0,nan,nan,322.0,157.0,189.0
439674948,439672992,3932170,7997.867,7.810417,47.526638,54.67292,nan,nan,nan,nan,nan,nan,47.526638,nan,nan,nan,10.0,9.0,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,311.0,141.0,187.0
439738474,439736760,3932170,7997.867,7.810417,nan,nan,nan,nan,nan,nan,nan,nan,39.052086,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,326.0,149.0,194.0
439773345,439769271,3932170,7997.867,7.810417,39.052086,nan,nan,nan,125.630806,nan,nan,nan,37.960472,32.333282,140.64238,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,10.0,10.0,10.0,nan,319.0,166.0,176.0
439835377,439833038,3932170,7997.867,7.810417,39.052086,93.725006,nan,nan,nan,nan,nan,nan,54.67292,nan,nan,nan,16.0,10.0,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,298.0,166.0,195.0
439897573,439896808,3932170,7997.867,7.810417,124.91181,nan,nan,nan,nan,nan,nan,nan,63.147476,148.45279,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,10.0,10.0,nan,nan,335.0,151.0,186.0
439933206,439929320,3932170,7997.867,7.810417,93.060875,nan,nan,nan,nan,nan,nan,nan,46.862503,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,340.0,165.0,181.0
439994193,439991836,3932170,7997.867,7.810417,85.91459,125.630806,nan,nan,38.38795,nan,nan,nan,46.862503,60.077736,nan,nan,10.0,10.0,nan,nan,10.0,nan,nan,nan,16.0,10.0,nan,nan,318.0,154.0,179.0
440027752,440025595,3932170,7997.867,7.810417,62.483337,nan,nan,nan,47.526638,nan,nan,nan,45.99102,nan,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,16.0,nan,nan,nan,316.0,175.0,180.0
440092574,440089365,3932170,7997.867,7.810417,140.53264,nan,nan,nan,nan,nan,nan,nan,56.53775,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,327.0,151.0,203.0
440122978,440120630,3932170,7997.867,7.810417,62.483337,nan,nan,nan,nan,nan,nan,nan,149.06206,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,317.0,163.0,197.0
440187895,440185643,3932170,7997.867,7.810417,nan,nan,nan,nan,164.07362,nan,nan,nan,46.862503,125.28507,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,16.0,10.0,nan,nan,296.0,169.0,196.0
440248936,440246910,3932170,7997.867,7.810417,102.254425,nan,nan,nan,46.862503,nan,nan,nan,45.99102,109.02744,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,16.0,10.0,nan,nan,319.0,149.0,178.0
440284070,440280671,3932170,7997.867,7.810417,54.67292,nan,nan,nan,nan,nan,nan,nan,46.862503,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,327.0,158.0,172.0
440345641,440344482,3932170,7997.867,7.810417,47.50507,108.62684,nan,nan,125.68567,nan,nan,nan,nan,nan,nan,nan,17.0,10.0,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,305.0,162.0,186.0
440378058,440376955,3932170,7997.867,7.810417,46.862503,124.30254,nan,nan,nan,nan,nan,nan,46.578064,nan,nan,nan,16.0,10.0,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,323.0,159.0,194.0
