timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
438345615,438345103,-0.6618589,-0.02149763,-0.0029052137,-0.74931455,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
438350657,438350102,-0.6618601,-0.021495786,-0.0029025201,-0.7493136,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
438400628,438400118,-0.66186595,-0.021495461,-0.002917297,-0.74930835,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
438450600,438450133,-0.66187084,-0.021493498,-0.0029128278,-0.74930406,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
438500595,438500144,-0.6618842,-0.021483837,-0.0029173552,-0.7492925,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
438545615,438545159,-0.6618909,-0.021480417,-0.0029253613,-0.74928665,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
438600677,438600174,-0.66189873,-0.021474944,-0.002936666,-0.74927986,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
438650818,438650188,-0.6618996,-0.021479083,-0.0029403828,-0.7492789,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
438700656,438700203,-0.6619091,-0.02146585,-0.002948473,-0.749271,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
438750731,438750218,-0.6619233,-0.02146167,-0.0029532497,-0.7492585,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
438800745,438800233,-0.66192853,-0.02145502,-0.002949957,-0.74925405,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
438850705,438850247,-0.6619333,-0.021449191,-0.0029466744,-0.74925005,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
438900866,438900266,-0.66192806,-0.02144094,-0.002946806,-0.7492549,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
438950800,438950283,-0.66193354,-0.02142563,-0.002958224,-0.7492505,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
