timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
438031057,inf,0,1,1,1,1,1,1,0,0,1
439031157,inf,0,1,1,1,1,1,1,0,0,1
440031555,inf,0,1,1,1,1,1,1,0,0,1
441031848,inf,0,1,1,1,1,1,1,0,0,1
442032116,inf,0,1,1,1,1,1,1,0,0,1
443032455,inf,0,1,1,1,1,1,1,0,0,1
444032728,inf,0,1,1,1,1,1,1,0,0,1
445033095,inf,0,1,1,1,1,1,1,0,0,1
446033475,inf,0,1,1,1,1,1,1,0,0,1
447033804,inf,0,1,1,1,1,1,1,0,0,1
448034016,inf,0,1,1,1,1,1,1,0,0,1
449034449,inf,0,1,1,1,1,1,1,0,0,1
449134263,inf,0,1,1,1,0,0,1,0,0,1
450104980,inf,0,1,1,1,1,0,1,0,0,1
450914864,inf,0,1,0,0,1,0,1,0,0,1
450924849,inf,0,0,0,0,1,0,1,0,0,1
451925012,inf,0,0,0,0,1,0,0,0,0,1
452925528,inf,0,0,0,0,1,0,0,1,0,1
453925789,inf,0,0,0,0,1,0,0,0,0,1
454926110,inf,0,0,0,0,1,0,0,0,0,1
455916382,inf,0,0,0,0,0,0,0,0,0,1
456916525,inf,0,0,0,0,0,0,0,0,0,1
457916970,inf,0,0,0,0,0,0,0,0,0,1
458917356,inf,0,0,0,0,0,0,0,0,0,1
459917638,inf,0,0,0,0,0,0,0,0,0,1
460918036,inf,0,0,0,0,0,0,0,0,0,1
461918294,inf,0,0,0,0,0,0,0,0,0,1
462918528,inf,0,0,0,0,0,0,0,0,0,1
463918754,inf,0,0,0,0,0,0,0,0,0,1
464919097,inf,0,0,0,0,0,0,0,0,0,1
465919358,inf,0,0,0,0,0,0,0,0,0,1
466919732,inf,0,0,0,0,0,0,0,0,0,1
467920005,inf,0,0,0,0,0,0,0,0,0,1
468920257,inf,0,0,0,0,0,0,0,0,0,1
469920746,inf,0,0,0,0,0,0,0,0,0,1
470920987,inf,0,0,0,0,0,0,0,0,0,1
471921357,inf,0,0,0,0,0,0,0,0,0,1
472401736,inf,0,0,0,0,1,1,0,1,0,1
473401750,inf,0,0,0,0,1,1,0,1,0,1
474401979,inf,0,0,0,0,1,1,1,0,0,1
474542183,inf,0,1,0,0,1,1,1,0,0,1
474902258,inf,0,1,1,0,1,1,1,0,0,1
475242345,inf,0,1,1,1,1,1,1,0,0,1
476242657,inf,0,1,1,1,1,1,1,0,0,1
477242898,inf,0,1,1,1,1,1,1,0,0,1
478243052,inf,0,1,1,1,1,1,1,0,0,1
479243405,inf,0,1,1,1,1,1,1,0,0,1
480243659,inf,0,1,1,1,1,1,1,0,0,1
481244039,inf,0,1,1,1,1,1,1,0,0,1
482244416,inf,0,1,1,1,1,1,1,0,0,1
