timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
438340925,438340097,0,nan,nan,0.31397107,0.054466676,-0.20096658,0.07670811,0.07319929,-1.3995703,-0.010229989,0.0010884178,-0.000458817,-0.0010818427,-0.00045844243,-0.00027825517,-0.026062105,-0.014449643,-0.006072306,-0.002791591,1.6941134,-0.0016459217,nan,0.10008746,0.045948062,0.03126093,0.06737985,0.043630067,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
438351425,438350102,0,nan,nan,0.31396952,0.054476257,-0.20097546,0.07670811,0.07319929,-1.3995703,-0.010204726,0.0011231503,-0.0004602395,-0.001079639,-0.00045844243,-0.00027825517,-0.026062105,-0.022385666,0.019016687,0.0019046644,1.6941166,-0.0016459217,nan,0.10008832,0.044151124,0.030126296,0.06577261,0.042704467,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
438450943,438450133,0,nan,nan,0.31393614,0.054568928,-0.20106816,0.07670811,0.07319929,-1.3995703,-0.009755501,0.0012424606,-0.00079145026,-0.0013717448,-0.00045844243,-0.00027825517,-0.026062105,0.011665188,0.0021727264,-0.009981453,1.694088,-0.0016459217,nan,0.10013827,0.04466529,0.030462245,0.066115566,0.04290484,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
438541045,438540160,0,nan,nan,0.31395102,0.0546564,-0.20116837,0.07670811,0.07319929,-1.3995703,-0.009223376,0.0016631222,-0.00095690007,-0.0014987664,-0.00045844243,-0.00027825517,-0.026062105,-0.011613222,-0.002900113,-0.010909624,1.6940316,-0.0016459217,nan,0.10020328,0.044710368,0.030496389,0.066108294,0.042899907,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
438651293,438650188,0,nan,nan,0.31404382,0.05476091,-0.20129706,0.07670811,0.07319929,-1.3995703,-0.008714246,0.0016397112,-0.0008248361,-0.0013151466,-0.00045844243,-0.00027825517,-0.026062105,0.0046902183,-0.009940215,-0.0010158021,1.694012,-0.0016459217,nan,0.100274794,0.043627363,0.029809512,0.0651776,0.04235604,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
438751215,438750218,0,nan,nan,0.31416845,0.054819264,-0.20139004,0.07670811,0.07319929,-1.3995703,-0.008373231,0.001252967,-0.00097615994,-0.0014141565,-0.00045844243,-0.00027825517,-0.026062105,0.011314202,-0.0059910803,0.0015831301,1.6939504,-0.0016459217,nan,0.100299455,0.044260837,0.03021184,0.06576588,0.04269365,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
438851306,438850247,0,nan,nan,0.31434932,0.054873303,-0.2014916,0.07670811,0.07319929,-1.3995703,-0.008066236,0.0021265636,-0.0011063269,-0.0014846681,-0.00045844243,-0.00027825517,-0.026062105,-0.007905646,0.017779948,0.0047263224,1.6939247,-0.0016459217,nan,0.10035654,0.042858414,0.029313954,0.064622864,0.04202556,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
438951223,438950283,0,nan,nan,0.31452453,0.054959428,-0.2015688,0.07670811,0.07319929,-1.3995703,-0.00789083,0.0021228036,-0.0009468213,-0.0012580805,-0.00045844243,-0.00027825517,-0.026062105,0.012782143,-0.003442373,0.015870366,1.693926,-0.0016459217,nan,0.100392275,0.04358444,0.029772073,0.06533489,0.042434998,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
439051211,439050308,0,nan,nan,0.3147104,0.055036183,-0.20163846,0.07670811,0.07319929,-1.3995703,-0.007464712,0.0021936428,-0.0013130798,-0.001553722,-0.00045844243,-0.00027825517,-0.026062105,-0.009663547,0.0074422234,-0.009213746,1.6938993,-0.0016459217,nan,0.10040709,0.04433336,0.030244116,0.06604662,0.042844225,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
439151161,439150340,0,nan,nan,0.31491995,0.055116877,-0.20170559,0.07670811,0.07319929,-1.3995703,-0.007340695,0.002229719,-0.0010802208,-0.0012442222,-0.00045844243,-0.00027825517,-0.026062105,-0.008467027,-0.007074471,-0.015566264,1.693841,-0.0016459217,nan,0.10047413,0.043012816,0.029398656,0.064961724,0.04221364,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
