timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
280249545,280248751,1.4135741e-10,8.249936e-06,0.00019578909,0.00025349803,0.0008256408,0.000876006,67129363,0,0.04688685,0.031926934,0.019055499,nan,0.008842532,0.00059229834,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
280259921,280258754,1.4360094e-10,8.318593e-06,0.00019508235,0.00029105958,0.0006529129,0.00077889115,67129363,0,0.04495079,0.030699372,0.034046322,nan,0.008590796,0.00062526704,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
280449643,280448799,1.4636029e-10,8.286578e-06,0.00019125125,0.00023516823,0.00075016654,0.0008778121,67129363,0,0.04522602,0.03085181,0.018767634,nan,0.008257203,0.00091178284,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
280649644,280648847,1.3942437e-10,8.217426e-06,0.00020862631,0.00018062937,0.0008003219,0.0009594085,67129363,0,0.04412464,0.030123293,0.030671,nan,0.008382619,0.0008571834,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
280849775,280848892,1.5955158e-10,8.829662e-06,0.00022068543,0.00015731026,0.0008259245,0.0009964133,67129363,0,0.043454934,0.029669814,0.020067194,nan,0.008240085,0.0008589152,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
281049851,281048942,1.5649593e-10,8.787089e-06,0.00019953007,0.00030922669,0.0008337799,0.0009972753,67129363,0,0.042878184,0.029287651,0.027386086,nan,0.00848153,0.0007803207,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
281249760,281248986,1.5178406e-10,8.8650895e-06,0.0002164772,0.00021087668,0.00077833224,0.0009259444,67129363,0,0.04455488,0.030338828,0.0032971404,nan,0.008546153,0.0006220283,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
281449995,281449035,1.4225604e-10,8.464364e-06,0.00019758951,0.00022446719,0.00070487894,0.00084453425,67129363,0,0.044112425,0.03005538,0.020601215,nan,0.008623496,0.00059076725,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
281649852,281649083,1.4685256e-10,8.668486e-06,0.00021470539,0.00019998364,0.00061158964,0.0007351779,67129363,0,0.04365279,0.029766267,0.02783581,nan,0.008658551,0.0008866949,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
281850101,281849131,1.5554068e-10,9.232612e-06,0.0002181192,0.00020546034,0.0005147091,0.00061082724,67129363,0,0.043210868,0.029489268,0.03265623,nan,0.008810384,0.0009521471,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
