timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
280248751,-0.0038729173,-2.5198553e-05,0.000659759,5001,0,-0.24755959,-0.27267632,-9.7736845,5001,0
280253754,-0.0045239124,0.0011314636,-0.0014542312,5003,0,-0.2649295,-0.29167283,-9.796265,5003,0
280258754,-0.004837857,0.0013458552,0.0006958001,5000,0,-0.2512423,-0.27106112,-9.791624,5000,0
280263764,-0.0043730065,0.00020114839,-0.0007371443,5010,0,-0.26966074,-0.27739388,-9.788827,5010,0
280268753,-0.0042423517,-2.916635e-05,-0.00017446774,4989,0,-0.2810164,-0.3117404,-9.794508,4989,0
280273758,-0.0049687256,-0.0004609376,-9.705131e-05,5005,0,-0.2688391,-0.28432864,-9.79331,5005,0
280278757,-0.004090435,0.00080981327,9.877358e-05,4999,0,-0.25802568,-0.28034535,-9.78625,4999,0
280283759,-0.003799448,0.00081840466,-0.00038131682,5002,0,-0.2557422,-0.29200938,-9.793096,5002,0
280288758,-0.0029081346,0.0014339398,0.00082812185,4999,0,-0.26677904,-0.27934974,-9.774865,4999,0
280293767,-0.004619599,7.605864e-05,0.0014872391,5009,0,-0.24228494,-0.31992805,-9.808147,5009,0
280298762,-0.0038785005,-0.00014269396,0.0015356469,4995,0,-0.27378702,-0.280266,-9.800784,4995,0
280303765,-0.0047488147,-0.00030120622,-0.00046406037,5003,0,-0.2544324,-0.2819324,-9.793731,5003,0
280308801,-0.0057875076,0.00138054,-0.001719224,5036,0,-0.26588327,-0.2968859,-9.801507,5036,0
280313770,-0.0044924784,0.0005490733,0.0007894235,4969,0,-0.2745801,-0.2651727,-9.804064,4969,0
280318768,-0.0029260798,0.0010522734,0.000728834,4998,0,-0.24225977,-0.2735468,-9.781346,4998,0
280323773,-0.005239221,0.00043905518,-0.0009165672,5005,0,-0.26364133,-0.2870671,-9.785756,5005,0
280328770,-0.0040151663,0.0014735068,0.001055177,4997,0,-0.26800078,-0.27095512,-9.782643,4997,0
