timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
280131259,0,0,1,0,1,0,1,1,0,1,1,1,1,0
280640546,0,0,1,0,1,0,1,1,0,1,1,1,1,0
281143710,0,0,1,0,1,0,1,1,0,1,1,1,1,0
281646064,0,0,1,0,1,0,1,1,0,1,1,1,1,0
282150379,0,0,1,0,1,0,1,1,0,1,1,1,1,0
282653727,0,0,1,0,1,0,1,1,0,1,1,1,1,0
283157775,0,0,1,0,1,0,1,1,0,1,1,1,1,0
283665280,0,0,1,0,1,0,1,1,0,1,1,1,1,0
284166741,0,0,1,0,1,0,1,1,0,1,1,1,1,0
284669697,0,0,1,0,1,0,1,1,0,1,1,1,1,0
285173767,0,0,1,0,1,0,1,1,0,1,1,1,1,0
285678777,0,0,1,0,1,0,1,1,0,1,1,1,1,0
286182131,0,0,1,0,1,0,1,1,0,1,1,1,1,0
286688310,0,0,1,0,1,0,1,1,0,1,1,1,1,0
287191642,0,0,1,0,1,0,1,1,0,1,1,1,1,0
287519717,0,0,1,0,1,0,1,1,0,1,1,1,1,0
288026309,0,0,1,0,1,0,1,1,0,1,1,1,1,0
288530054,0,0,1,0,1,0,1,1,0,1,1,1,1,0
289034718,0,0,1,0,1,0,1,1,0,1,1,1,1,0
289540945,0,0,1,0,1,0,1,1,0,1,1,1,1,0
289914354,1,0,1,0,1,0,1,1,0,1,1,1,1,0
289935782,1,0,1,0,0,1,1,1,1,1,1,1,1,0
290436825,1,0,1,0,0,1,1,1,1,1,1,1,1,0
290938779,1,0,1,0,0,1,1,1,1,1,1,1,1,0
291443319,1,0,1,0,0,1,1,1,1,1,1,1,1,0
291952950,1,0,1,0,0,1,1,1,1,1,1,1,1,0
292462846,1,0,1,0,0,1,1,1,1,1,1,1,1,0
292963721,1,0,1,0,0,1,1,1,1,1,1,1,1,0
293466695,1,0,1,0,0,1,1,1,1,1,1,1,1,0
293968927,1,0,1,0,0,1,1,1,1,1,1,1,1,0
294475203,1,0,1,0,0,1,1,1,1,1,1,1,1,0
294978708,1,0,1,0,0,1,1,1,1,1,1,1,1,0
295479719,1,0,1,0,0,1,1,1,1,1,1,1,1,0
295989691,1,0,1,0,0,1,1,1,1,1,1,1,1,0
296489727,1,0,1,0,0,1,1,1,1,1,1,1,1,0
296998892,1,0,1,0,0,1,1,1,1,1,1,1,1,0
297501797,1,0,1,0,0,1,1,1,1,1,1,1,1,0
298012696,1,0,1,0,0,1,1,1,1,1,1,1,1,0
298522792,1,0,1,0,0,1,1,1,1,1,1,1,1,0
299031224,1,0,1,0,0,1,1,1,1,1,1,1,1,0
299536721,1,0,1,0,0,1,1,1,1,1,1,1,1,0
300040838,1,0,1,0,0,1,1,1,1,1,1,1,1,0
300548275,1,0,1,0,0,1,1,1,1,1,1,1,1,0
301057712,1,0,1,0,0,1,1,1,1,1,1,1,1,0
301566862,1,0,1,0,0,1,1,1,1,1,1,1,1,0
302071769,1,0,1,0,0,1,1,1,1,1,1,1,1,0
302581693,1,0,1,0,0,1,1,1,1,1,1,1,1,0
