timestamp,voltage_v,rssi_v,free_memory_bytes,actuators[0],actuators[1],actuators[2],actuators[3],actuators[4],actuators[5],actuators[6],actuators[7],servos[0],servos[1],servos[2],servos[3],servos[4],servos[5],servos[6],servos[7],raw_inputs[0],raw_inputs[1],raw_inputs[2],raw_inputs[3],raw_inputs[4],raw_inputs[5],raw_inputs[6],raw_inputs[7],raw_inputs[8],raw_inputs[9],raw_inputs[10],raw_inputs[11],raw_inputs[12],raw_inputs[13],raw_inputs[14],raw_inputs[15],raw_inputs[16],raw_inputs[17],status_outputs_armed,status_override,status_rc_ok,status_rc_ppm,status_rc_dsm,status_rc_sbus,status_fmu_ok,status_raw_pwm,status_mixer_ok,status_arm_sync,status_init_ok,status_failsafe,status_safety_off,status_fmu_initialized,status_rc_st24,status_rc_sumd,alarm_vbatt_low,alarm_temperature,alarm_servo_current,alarm_acc_current,alarm_fmu_lost,alarm_rc_lost,alarm_pwm_error,alarm_vservo_fault,arming_io_arm_ok,arming_fmu_armed,arming_fmu_prearmed,arming_manual_override_ok,arming_failsafe_custom,arming_inair_restart_ok,arming_always_pwm_enable,arming_rc_handling_disabled,arming_lockdown,arming_force_failsafe,arming_termination_failsafe,arming_override_immediate
85647127,0.029000001,1.296,1192,-10000,-10000,-10000,-10000,0,0,0,0,900,900,900,900,0,0,0,0,1500,1496,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1
86666914,0.029000001,1.544,1192,-7814,-10000,-3719,-3513,0,0,0,0,1170,1075,1349,1358,1500,1500,0,0,1500,1497,1065,1498,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1
87693939,0.026,1.516,1192,1473,-1265,-1931,1324,0,0,0,0,1576,1456,1428,1569,1500,1500,0,0,1500,1496,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1
88701360,0.026,1.2310001,1192,959,-1767,-1606,-3162,0,0,0,0,1553,1434,1441,1373,1500,1500,0,0,1500,1496,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1
89716402,0.029000001,1.279,1192,31,261,-1678,-1806,0,0,0,0,1513,1523,1438,1433,1500,1500,0,0,1500,1496,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1
90734218,0.026,1.5130001,1192,1422,-1070,-1813,-1227,0,0,0,0,1588,1449,1432,1458,1500,1500,0,0,1500,1496,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1
91746500,0.021000002,1.5450001,1192,1273,-1349,-1157,-2358,0,0,0,0,1567,1452,1473,1408,1500,1500,0,0,1500,1497,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1
92757505,0.031000001,1.5400001,1192,728,1212,-546,-2526,0,0,0,0,1543,1569,1488,1401,1500,1500,0,0,1500,1497,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1
93770148,0.019000001,1.4670001,1192,3159,-2311,-1541,-1211,0,0,0,0,1650,1410,1444,1459,1500,1500,0,0,1501,1496,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1
94793391,0.021000002,1.5450001,1192,1489,-1249,-1470,-1538,0,0,0,0,1577,1457,1447,1444,1500,1500,0,0,1500,1496,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1
