timestamp,safety_switch_available,safety_off,override_available,override_enabled
85144063,1,1,0,0
86154967,1,1,0,0
87159475,1,1,0,0
88179098,1,1,0,0
89199001,1,1,0,0
90217806,1,1,0,0
91229088,1,1,0,0
92246512,1,1,0,0
93260308,1,1,0,0
94278094,1,1,0,0
95287019,1,1,0,0
96305246,1,1,0,0
97315787,1,1,0,0
98318674,1,1,0,0
99332657,1,1,0,0
100336480,1,1,0,0
101351687,1,1,0,0
102363184,1,1,0,0
103364464,1,1,0,0
104383430,1,1,0,0
105393514,1,1,0,0
106405028,1,1,0,0
107405192,1,1,0,0
108409028,1,1,0,0
109412464,1,1,0,0
110432082,1,1,0,0
111447353,1,1,0,0
112463440,1,1,0,0
113472572,1,1,0,0
114482793,1,1,0,0
115491437,1,1,0,0
116508589,1,1,0,0
117516780,1,1,0,0
118520754,1,1,0,0
119540864,1,1,0,0
120557367,1,1,0,0
121557500,1,1,0,0
122576389,1,1,0,0
123594394,1,1,0,0
124595434,1,1,0,0
125605611,1,1,0,0
126610581,1,1,0,0
127626023,1,1,0,0
128638689,1,1,0,0
129653871,1,1,0,0
130672739,1,1,0,0
131686841,1,1,0,0
132706369,1,1,0,0
133721537,1,1,0,0
134736277,1,1,0,0
135754930,1,1,0,0
136770069,1,1,0,0
137784456,1,1,0,0
138787926,1,1,0,0
139805039,1,1,0,0
140820861,1,1,0,0
141832926,1,1,0,0
142853374,1,1,0,0
143865047,1,1,0,0
144865206,1,1,0,0
145878235,1,1,0,0
146888370,1,1,0,0
147891201,1,1,0,0
148896206,1,1,0,0
149916098,1,1,0,0
150935468,1,1,0,0
151950209,1,1,0,0
152969845,1,1,0,0
153986868,1,1,0,0
155003445,1,1,0,0
156005907,1,1,0,0
157017383,1,1,0,0
158030345,1,1,0,0
159036211,1,1,0,0
160046089,1,1,0,0
161056611,1,1,0,0
162076803,1,1,0,0
163088406,1,1,0,0
164098643,1,1,0,0
165107574,1,1,0,0
166108441,1,1,0,0
167115451,1,1,0,0
168130633,1,1,0,0
169148044,1,1,0,0
170162511,1,1,0,0
171169876,1,1,0,0
172190071,1,1,0,0
173193010,1,1,0,0
174207193,1,1,0,0
