seq,frame_id,stamp,position_x,position_y,position_z,quaternion_x,quaternion_y,quaternion_z,quaternion_w
0,,0.000000000,0,0,0,0,0,0,0
57982,world,1657661679.509675798,-1.3123,3.33131,0.212636,0.013026,0.00473206,0.674908,-0.737772
57983,world,1657661679.551295847,-1.31231,3.33136,0.212687,0.0130985,0.00466194,0.674954,-0.737729
57984,world,1657661679.592896261,-1.31239,3.33154,0.212565,0.0136576,0.00461049,0.674184,-0.738423
57985,world,1657661679.634610153,-1.31251,3.33154,0.212538,0.0136726,0.00459901,0.674244,-0.738367
57986,world,1657661679.676194314,-1.31241,3.33154,0.212584,0.0137528,0.00456683,0.674207,-0.7384
57987,world,1657661679.717943113,-1.31252,3.33153,0.212535,0.0137168,0.0045926,0.674264,-0.738349
57988,world,1657661679.759546761,-1.31245,3.33146,0.212537,0.0136435,0.00458438,0.674261,-0.738353
57989,world,1657661679.801319402,-1.31244,3.33161,0.212571,0.0137908,0.00460739,0.674252,-0.738359
57990,world,1657661679.842935727,-1.31243,3.33145,0.212515,0.0135246,0.00461309,0.674198,-0.738412
57991,world,1657661679.886274024,-1.31249,3.33151,0.21251,0.0136035,0.0045987,0.674252,-0.738362
57992,world,1657661679.926244957,-1.31244,3.33146,0.212521,0.013598,0.00458777,0.674244,-0.738369
57993,world,1657661679.968071566,-1.31251,3.33152,0.212525,0.0136278,0.00460811,0.674215,-0.738395
57994,world,1657661680.009695240,-1.31246,3.33146,0.212522,0.0134762,0.00458872,0.674218,-0.738395
57995,world,1657661680.051225681,-1.31251,3.33153,0.212541,0.0136403,0.00457262,0.674248,-0.738365
57996,world,1657661680.096091772,-1.31246,3.33147,0.212534,0.013557,0.00457358,0.67421,-0.738401
57997,world,1657661680.134643821,-1.31252,3.33154,0.212531,0.0136528,0.00458234,0.674246,-0.738367
57998,world,1657661680.176372457,-1.31246,3.33146,0.212519,0.0135862,0.0046176,0.674228,-0.738384
57999,world,1657661680.218054715,-1.31252,3.33154,0.212529,0.013683,0.00459136,0.674235,-0.738376
58000,world,1657661680.259636982,-1.31246,3.33144,0.212492,0.0133382,0.00461207,0.674198,-0.738415
