iteration,time,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z
1,0,0,0,0,0,0,0,0,0,0
2,0.01,2.48871e-08,1.21827e-09,0,9.92154e-06,4.84893e-07,0,0.00295985,0.000144263,0
3,0.02,3.92892e-07,1.91082e-08,0,7.80509e-05,3.78347e-06,0,0.0115763,0.000558024,0
4,0.03,1.96244e-06,9.48147e-08,0,0.000259014,1.24511e-05,0,0.0254632,0.00121354,0
5,0.04,6.1191e-06,2.93666e-07,0,0.000603632,2.87709e-05,0,0.0442458,0.0020841,0
6,0.05,1.47381e-05,7.02506e-07,0,0.00115904,5.47644e-05,0,0.0675608,0.00314407,0
7,0.06,3.0148e-05,1.42713e-06,0,0.00196878,9.22013e-05,0,0.0950556,0.00436879,0
8,0.07,5.50955e-05,2.5898e-06,0,0.00307294,0.00014261,0,0.126389,0.00573463,0
9,0.08,9.27111e-05,4.32692e-06,0,0.00450825,0.000207289,0,0.16123,0.00721895,0
10,0.09,0.000146476,6.78675e-06,0,0.00630817,0.000287312,0,0.199259,0.00880008,0
11,0.1,0.000220191,1.01272e-05,0,0.00850302,0.000383544,0,0.240166,0.0104573,0
12,0.11,0.000317944,1.45139e-05,0,0.0111201,0.000496646,0,0.283653,0.0121709,0
13,0.12,0.000444082,2.01179e-05,0,0.0141837,0.000627087,0,0.32943,0.013922,0
14,0.13,0.000603179,2.71144e-05,0,0.0177154,0.000775151,0,0.377219,0.0156927,0
15,0.14,0.000800013,3.56801e-05,0,0.0217339,0.000940949,0,0.426751,0.0174659,0
16,0.15,0.00103953,4.59923e-05,0,0.0262554,0.00112442,0,0.477768,0.0192257,0
17,0.16,0.00132684,5.82268e-05,0,0.0312934,0.00132537,0,0.530019,0.0209566,0
18,0.17,0.00166716,7.25566e-05,0,0.0368591,0.00154341,0,0.583265,0.0226443,0
19,0.18,0.00206581,8.91504e-05,0,0.0429612,0.00177806,0,0.637277,0.0242752,0
20,0.19,0.0025282,0.000108171,0,0.0496064,0.00202868,0,0.691832,0.0258366,0
21,0.2,0.00305977,0.000129775,0,0.056799,0.00229452,0,0.74672,0.0273166,0
22,0.21,0.00366601,0.000154109,0,0.0645412,0.00257471,0,0.801736,0.028704,0
23,0.22,0.00435242,0.000181314,0,0.0728335,0.00286826,0,0.856688,0.0299885,0
24,0.23,0.00512451,0.000211516,0,0.0816742,0.0031741,0,0.911389,0.0311605,0
25,0.24,0.00598772,0.000244833,0,0.0910598,0.00349107,0,0.965663,0.0322112,0
26,0.25,0.0069475,0.00028137,0,0.100985,0.0038179,0,1.01934,0.0331324,0
27,0.26,0.00800921,0.000321219,0,0.111444,0.00415326,0,1.07226,0.0339168,0
28,0.27,0.00917814,0.000364459,0,0.122428,0.00449575,0,1.12428,0.0345577,0
29,0.28,0.0104595,0.000411153,0,0.133926,0.00484391,0,1.17524,0.0350491,0
30,0.29,0.0118583,0.000461351,0,0.145929,0.00519622,0,1.22502,0.0353858,0
31,0.3,0.0133797,0.000515086,0,0.158422,0.0055511,0,1.27348,0.035563,0
32,0.31,0.0150284,0.000572376,0,0.171393,0.00590693,0,1.3205,0.0355768,0
33,0.32,0.0168091,0.000633222,0,0.184827,0.00626208,0,1.36597,0.0354238,0
34,0.33,0.0187264,0.00069761,0,0.198707,0.00661485,0,1.40979,0.0351013,0
35,0.34,0.0207847,0.000765506,0,0.213017,0.00696353,0,1.45185,0.034607,0
36,0.35,0.0229881,0.000836861,0,0.227738,0.00730641,0,1.49206,0.0339394,0
37,0.36,0.0253407,0.000911609,0,0.242852,0.00764174,0,1.53034,0.0330976,0
38,0.37,0.0278464,0.000989665,0,0.258338,0.00796778,0,1.56661,0.032081,0
39,0.38,0.0305087,0.00107093,0,0.274177,0.00828278,0,1.60079,0.0308899,0
40,0.39,0.033331,0.00115528,0,0.290347,0.00858499,0,1.63283,0.0295247,0
41,0.4,0.0363166,0.00124258,0,0.306826,0.00887269,0,1.66266,0.0279866,0
42,0.41,0.0394685,0.00133268,0,0.323592,0.00914416,0,1.69023,0.0262773,0
43,0.42,0.0427894,0.0014254,0,0.340623,0.00939768,0,1.7155,0.0243989,0
44,0.43,0.0462818,0.00152057,0,0.357894,0.00963158,0,1.73841,0.0223538,0
45,0.44,0.049948,0.00161796,0,0.375383,0.00984421,0,1.75895,0.0201453,0
46,0.45,0.0537901,0.00171737,0,0.393065,0.0100339,0,1.77707,0.0177767,0
47,0.46,0.0578099,0.00181856,0,0.410916,0.0101992,0,1.79275,0.0152518,0
48,0.47,0.0620089,0.00192127,0,0.428912,0.0103385,0,1.80599,0.012575,0
49,0.48,0.0663885,0.00202524,0,0.447028,0.0104502,0,1.81675,0.00975105,0
