seq,frame_id,stamp,position_x,position_y,position_z,yaw,yaw_rate,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_ztype_mask
0,,0.000000000,-1.3124,3.33159,0.212593,1.5708,0,0,0,0,0,0,0,2048
0,,1657663300.376340946,-1.3124,3.33159,0.212593,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663300.376480097,-1.3124,3.33159,0.212593,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663300.401554551,-1.3124,3.33159,0.212593,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663300.426688440,-1.3124,3.33159,0.212593,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663300.451566424,-1.3124,3.33159,0.212593,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663300.476757878,-1.3124,3.33159,0.212593,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663300.501509014,-1.3124,3.33159,0.212593,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663300.526548690,-1.3124,3.33159,0.212593,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663300.551555564,-1.3124,3.33159,0.212593,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663300.576567497,-1.3124,3.33159,0.212593,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663300.601547812,-1.3124,3.33159,0.212593,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663300.626536148,-1.3124,3.33159,0.212593,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663300.651550591,-1.3124,3.33159,0.212593,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663300.676610857,-1.3124,3.33159,0.212593,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663300.701650422,-1.3124,3.33159,0.212593,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663300.726701217,-1.3124,3.33159,0.212593,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663300.751550352,-1.3124,3.33159,0.212593,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663300.776532251,-1.3124,3.33159,0.212593,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663300.801535037,-1.3124,3.33159,0.212593,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663300.826601556,-1.3124,3.33159,0.212593,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663300.851498763,-1.3124,3.33159,0.212593,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663300.876499164,-1.3124,3.33159,0.212593,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663300.901552385,-1.3124,3.33159,0.212593,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663300.926546559,-1.3124,3.33159,0.212593,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663300.951597836,-1.3124,3.33159,0.212593,-1.47984,0,0,0,0,0,0,0,2048
