iteration,time,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z
1,0,0,0,0,0,0,0,0,0,0
2,0.1,-3.95407e-05,2.01655e-06,0.000310476,-0.00151475,7.76756e-05,0.0120164,-0.0421663,0.00218312,0.340732
3,0.2,-0.000530973,2.76589e-05,0.00435254,-0.00965504,0.000508832,0.081186,-0.121744,0.00655788,1.0768
4,0.3,-0.00222539,0.00011843,0.0192057,-0.0252965,0.00137166,0.229161,-0.184975,0.0104292,1.87005
5,0.4,-0.00572699,0.000311409,0.0526124,-0.0449568,0.00251166,0.44937,-0.197977,0.0118335,2.49166
6,0.5,-0.0111519,0.000619586,0.110677,-0.0626397,0.00361329,0.717196,-0.143883,0.00950807,2.807
7,0.6,-0.0179569,0.00101922,0.196508,-0.0713936,0.00426851,0.99864,-0.0199732,0.00286079,2.76056
8,0.7,-0.0249103,0.00144387,0.309648,-0.0645834,0.00404231,1.25748,0.165183,-0.0080603,2.3608
9,0.8,-0.0301747,0.00178488,0.446147,-0.0368758,0.00253527,1.4609,0.394591,-0.0225975,1.66508
10,0.9,-0.0314751,0.00189791,0.599126,0.0150611,-0.000557101,1.58364,0.645698,-0.0395138,0.764556
11,1,-0.0263214,0.00161528,0.759672,0.0921451,-0.00538786,1.61064,0.89325,-0.0570235,-0.230969
12,1.1,-0.0122593,0.000763829,0.917923,0.192753,-0.0119053,1.53808,1.11216,-0.0728223,-1.20811
13,1.2,0.012882,-0.000812115,1.06419,0.31288,-0.0198027,1.37305,1.28036,-0.0841182,-2.06502
14,1.3,0.0507706,-0.00322281,1.18998,0.44658,-0.0284714,1.13166,1.38148,-0.0876756,-2.72545
15,1.4,0.10241,-0.00650087,1.28872,0.586614,-0.0369625,0.836036,1.40596,-0.0799709,-3.14463
16,1.5,0.168042,-0.0105663,1.35622,0.7251,-0.043972,0.511349,1.35045,-0.0574687,-3.30611
17,1.6,0.247113,-0.0151913,1.39087,0.854101,-0.0478539,0.183177,1.217,-0.0169168,-3.21734
18,1.7,0.338295,-0.0199683,1.39354,0.966116,-0.0466636,-0.124653,1.01216,0.0443588,-2.9051
19,1.8,0.439547,-0.0242828,1.3673,1.05449,-0.0382301,-0.391772,0.746185,0.128158,-2.41107
20,1.9,0.548221,-0.0272963,1.31707,1.11375,-0.0202585,-0.602534,0.432165,0.235113,-1.78724
21,2,0.661189,-0.0279401,1.24902,1.13982,0.0095385,-0.74682,0.0851736,0.36439,-1.09147
22,2.1,0.774995,-0.0249234,1.17007,1.13022,0.0532794,-0.820408,-0.278573,0.513398,-0.382995
23,2.2,0.886015,-0.0167601,1.08725,1.0841,0.112723,-0.824873,-0.642563,0.677491,0.282144
24,2.3,0.990622,-0.00181506,1.00717,1.00224,0.18905,-0.767051,-0.990837,0.849673,0.855543
25,2.4,1.08535,0.0216256,0.935546,0.886947,0.28261,-0.658049,-1.30883,1.02031,1.30092
26,2.5,1.16702,0.0552578,0.876804,0.741899,0.392653,-0.511847,-1.58407,1.1771,1.59737
27,2.6,1.23289,0.100638,0.833906,0.5719,0.517093,-0.343755,-1.80639,1.30576,1.73882
28,2.7,1.28076,0.159039,0.808272,0.38265,0.652363,-0.169045,-1.96795,1.39118,1.73176
29,2.8,1.30899,0.231304,0.799846,0.180521,0.793388,-0.00180747,-2.06325,1.41843,1.59286
30,2.9,1.31666,0.317693,0.807258,-0.0276834,0.933655,0.145943,-2.08911,1.37393,1.34662
31,3,1.30349,0.417752,0.828072,-0.234956,1.06541,0.264933,-2.04467,1.24653,1.02297
32,3.1,1.26993,0.530201,0.859079,-0.434321,1.17994,0.349054,-1.93141,1.02858,0.654884
33,3.2,1.21711,0.652857,0.896625,-0.619067,1.268,0.395553,-1.75311,0.71707,0.276056
34,3.3,1.14681,0.782608,0.93695,-0.782978,1.32032,0.404978,-1.51591,0.314703,-0.0815267
35,3.4,1.06139,0.915438,0.976501,-0.920566,1.32822,0.380894,-1.22826,-0.168993,-0.389932
36,3.5,0.963728,1.04653,1.01221,-1.02731,1.28438,0.329357,-0.900937,-0.716573,-0.627662
37,3.6,0.857074,1.17041,1.04172,-1.09986,1.18364,0.258157,-0.547009,-1.30174,-0.781874
38,3.7,0.74496,1.28128,1.06347,-1.13632,1.02392,0.175892,-0.181491,-1.89,-0.849084
39,3.8,0.631028,1.37328,1.07681,-1.13632,0.806866,0.0910932,0.179427,-2.44146,-0.833907
40,3.9,0.518872,1.44093,1.08187,-1.10114,0.538262,0.0114927,0.519229,-2.91393,-0.74742
41,4,0.411877,1.47955,1.0795,-1.03371,0.228094,-0.0565403,0.821919,-3.26611,-0.605522
42,4.1,0.313058,1.48563,1.0711,-0.938482,-0.109701,-0.108399,1.07287,-3.46075,-0.427294
43,4.2,0.224914,1.45726,1.05845,-0.821277,-0.457792,-0.141476,1.25965,-3.4678,-0.233358
44,4.3,0.149305,1.39439,1.04345,-0.689007,-0.796336,-0.155233,1.37292,-3.26756,-0.0442389
45,4.4,0.08736,1.29902,1.028,-0.54933,-1.10417,-0.151114,1.40723,-2.85385,0.121279
46,4.5,0.0394202,1.17528,1.01372,-0.410223,-1.36032,-0.132283,1.36187,-2.23718,0.24779
47,4.6,0.0050366,1.02931,1.00188,-0.279455,-1.54583,-0.10321,1.24177,-1.44788,0.324906
48,4.7,-0.0169825,0.868967,0.993248,-0.16399,-1.64589,-0.0690821,1.05827,-0.539232,0.348888
49,4.8,-0.0284569,0.703267,0.988061,-0.0693177,-1.65224,-0.0350789,0.829445,0.411741,0.323694
50,4.9,-0.0316554,0.541642,0.986079,0.00115723,-1.56523,-0.00563459,0.578451,1.31192,0.259908
51,5,-0.0290666,0.393012,0.986676,0.046481,-1.39479,0.0161122,0.330694,2.0645,0.172475
52,5.1,-0.0231475,0.264831,0.988992,0.068235,-1.1602,0.028638,0.110992,2.58176,0.078357
53,5.2,-0.0160769,0.162215,0.9921,0.0703335,-0.888519,0.0321182,-0.0592952,2.79775,-0.00581292
54,5.3,-0.00954522,0.0872968,0.99517,0.0585347,-0.611791,0.028278,-0.165128,2.68105,-0.0660722
55,5.4,-0.00460571,0.0389228,0.997607,0.0396651,-0.362936,0.0200072,-0.200648,2.24752,-0.093474
56,5.5,-0.00161863,0.0128201,0.999139,0.020559,-0.170401,0.0107421,-0.172046,1.57297,-0.0864311
57,5.6,-0.00031541,0.00236653,0.999829,0.0067098,-0.0515185,0.00361198,-0.100419,0.805966,-0.0530598
58,5.7,-1.20656e-05,8.64751e-05,0.999993,0.000636558,-0.00459882,0.000351612,-0.0246373,0.180506,-0.0135242
