iteration,time,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z
-1601812431,0,0,0,0,0,0,0,0,0,0
-1601812430,0.1,4.10887e-06,-4.09167e-06,4.89586e-06,0.000163431,-0.00016267,0.000194514,0.0048569,-0.00483047,0.00576967
-1601812429,0.2,6.4276e-05,-6.38865e-05,7.62411e-05,0.00127098,-0.00126207,0.00150409,0.0187036,-0.0185422,0.0220469
-1601812428,0.3,0.000318096,-0.000315566,0.000375573,0.00416886,-0.00412965,0.00490463,0.0404934,-0.0400121,0.047349
-1601812427,0.4,0.000982639,-0.000972944,0.00115475,0.00960123,-0.00948761,0.011228,0.0692319,-0.0681778,0.0802782
-1601812426,0.5,0.0023445,-0.00231684,0.00274196,0.0182154,-0.0179549,0.0211706,0.103975,-0.102037,0.11952
-1601812425,0.6,0.00475038,-0.00468506,0.0055286,0.0305666,-0.0300531,0.0353012,0.143829,-0.140643,0.16384
-1601812424,0.7,0.00859809,-0.00846293,0.0099569,0.0471233,-0.0462122,0.0540692,0.187948,-0.18311,0.212083
-1601812423,0.8,0.0143282,-0.0140744,0.0165084,0.0682718,-0.066776,0.0778126,0.235535,-0.228604,0.263173
-1601812422,0.9,0.0224159,-0.0219738,0.0256932,0.0943207,-0.0920078,0.106765,0.285836,-0.276346,0.316105
-1601812421,1,0.0333636,-0.0326379,0.0380397,0.125506,-0.122096,0.141064,0.338148,-0.325609,0.369951
-1601812420,1.1,0.0476939,-0.0465588,0.0540859,0.161995,-0.157158,0.180757,0.391806,-0.375718,0.423852
-1601812419,1.2,0.0659429,-0.0642371,0.0743699,0.203891,-0.197247,0.22581,0.446193,-0.426047,0.477018
-1601812418,1.3,0.088654,-0.0861755,0.0994229,0.251239,-0.242355,0.276112,0.500731,-0.47602,0.528726
-1601812417,1.4,0.116372,-0.112873,0.129761,0.304025,-0.292421,0.331484,0.554886,-0.525105,0.578319
-1601812416,1.5,0.149638,-0.144821,0.165881,0.362186,-0.34733,0.391685,0.60816,-0.572819,0.625204
-1601812415,1.6,0.188985,-0.182496,0.20825,0.425612,-0.406924,0.456417,0.660096,-0.61872,0.668845
-1601812414,1.7,0.234931,-0.226356,0.257304,0.494147,-0.471001,0.525331,0.710276,-0.662411,0.708771
-1601812413,1.8,0.287978,-0.276837,0.313442,0.567596,-0.539321,0.598033,0.758316,-0.703536,0.744563
-1601812412,1.9,0.348606,-0.334352,0.377022,0.645727,-0.611612,0.674093,0.803868,-0.74178,0.775859
-1601812411,2,0.417271,-0.399282,0.448357,0.728276,-0.687571,0.753045,0.846619,-0.776864,0.802352
-1601812410,2.1,0.494399,-0.471978,0.527711,0.814948,-0.766871,0.834395,0.88629,-0.808549,0.823783
-1601812409,2.2,0.580387,-0.552756,0.615299,0.905423,-0.849161,0.917626,0.922633,-0.83663,0.839945
-1601812408,2.3,0.675599,-0.641897,0.711281,0.999357,-0.934071,1.0022,0.955432,-0.860939,0.850677
-1601812407,2.4,0.780362,-0.739645,0.815766,1.09639,-1.02122,1.08758,0.984499,-0.881338,0.855861
-1601812406,2.5,0.894966,-0.846202,0.928804,1.19613,-1.11021,1.17319,1.00968,-0.897725,0.855428
-1601812405,2.6,1.01966,-0.961734,1.05039,1.29819,-1.20063,1.25847,1.03084,-0.910023,0.849343
-1601812404,2.7,1.15467,-1.08636,1.18047,1.40216,-1.29207,1.34287,1.04788,-0.91819,0.837617
-1601812403,2.8,1.30015,-1.22017,1.31892,1.50762,-1.38413,1.42581,1.06072,-0.922206,0.820293
-1601812402,2.9,1.45623,-1.36319,1.46556,1.61416,-1.47638,1.50674,1.06931,-0.922082,0.797453
-1601812401,3,1.623,-1.51544,1.62018,1.72134,-1.56841,1.58512,1.07362,-0.917851,0.76921
-1601812400,3.1,1.8005,-1.67685,1.78249,1.82874,-1.65981,1.66041,1.07364,-0.90957,0.735709
-1601812399,3.2,1.98874,-1.84736,1.95214,1.93593,-1.75019,1.73209,1.06939,-0.897319,0.697125
-1601812398,3.3,2.18767,-2.02684,2.12877,2.04248,-1.83915,1.79967,1.0609,-0.881199,0.653659
-1601812397,3.4,2.3972,-2.21513,2.31192,2.14797,-1.9263,1.86267,1.04823,-0.86133,0.60554
-1601812396,3.5,2.61721,-2.41203,2.50113,2.25199,-2.01129,1.92063,1.03144,-0.837848,0.553016
-1601812395,3.6,2.84754,-2.61731,2.69587,2.35412,-2.09376,1.97314,1.01063,-0.810909,0.49636
-1601812394,3.7,3.08796,-2.83069,2.89557,2.45398,-2.17336,2.01978,0.985894,-0.780682,0.435864
-1601812393,3.8,3.33824,-3.05187,3.09962,2.55118,-2.24979,2.06019,0.957359,-0.74735,0.371835
-1601812392,3.9,3.59809,-3.28053,3.30738,2.64533,-2.32274,2.09404,0.925155,-0.71111,0.304599
-1601812391,4,3.8672,-3.5163,3.5182,2.73609,-2.39192,2.12101,0.889427,-0.672169,0.234492
-1601812390,4.1,4.14519,-3.75878,3.73135,2.8231,-2.45709,2.14085,0.850332,-0.630743,0.161863
-1601812389,4.2,4.43168,-4.00757,3.94612,2.90605,-2.51799,2.15331,0.808037,-0.587058,0.0870716
-1601812388,4.3,4.72625,-4.26223,4.16176,2.98461,-2.57443,2.15821,0.762717,-0.541345,0.0104828
-1601812387,4.4,5.02845,-4.5223,4.3775,3.0585,-2.6262,2.15536,0.714558,-0.493844,-0.0675318
-1601812386,4.5,5.33779,-4.78731,4.59257,3.12743,-2.67315,2.14466,0.663749,-0.444795,-0.146597
-1601812385,4.6,5.65376,-5.05677,4.80617,3.19117,-2.71512,2.12602,0.61049,-0.394443,-0.226338
-1601812384,4.7,5.97584,-5.33016,5.01751,3.24946,-2.752,2.09939,0.554982,-0.343035,-0.306376
-1601812383,4.8,6.30346,-5.60699,5.22578,3.30209,-2.7837,2.06475,0.49743,-0.290817,-0.386341
-1601812382,4.9,6.63606,-5.88673,5.43019,3.34888,-2.81015,2.02213,0.438045,-0.238034,-0.465861
-1601812381,5,6.97304,-6.16885,5.62994,3.38965,-2.8313,1.9716,0.377035,-0.184928,-0.544576
-1601812380,5.1,7.31378,-6.45281,5.82425,3.42424,-2.84713,1.91326,0.314611,-0.131737,-0.622129
-1601812379,5.2,7.65768,-6.73809,6.01234,3.45253,-2.85765,1.84723,0.250984,-0.0786953,-0.698179
-1601812378,5.3,8.00408,-7.02416,6.19345,3.47441,-2.86288,1.77368,0.186363,-0.0260275,-0.772394
-1601812377,5.4,8.35234,-7.3105,6.36683,3.48978,-2.86287,1.69282,0.120952,0.0260483,-0.844457
-1601812376,5.5,8.70181,-7.59657,6.53177,3.49858,-2.8577,1.60487,0.0549541,0.0773239,-0.914066
-1601812375,5.6,9.05184,-7.88187,6.68758,3.50075,-2.84744,1.5101,-0.0114346,0.127602,-0.980941
-1601812374,5.7,9.40174,-8.16589,6.83358,3.49628,-2.83222,1.40878,-0.0780232,0.176698,-1.04482
-1601812373,5.8,9.75087,-8.44815,6.96913,3.48515,-2.81215,1.30124,-0.144628,0.224441,-1.10546
-1601812372,5.9,10.0986,-8.72816,7.09363,3.46736,-2.78738,1.18781,-0.211072,0.270673,-1.16265
-1601812371,6,10.4441,-9.00547,7.20651,3.44295,-2.75807,1.06883,-0.277188,0.31525,-1.21619
-1601812370,6.1,10.7869,-9.27963,7.30722,3.41194,-2.72439,0.944697,-0.342813,0.358042,-1.2659
-1601812369,6.2,11.1263,-9.55021,7.39529,3.3744,-2.68652,0.815786,-0.407793,0.398932,-1.31165
-1601812368,6.3,11.4616,-9.8168,7.47024,3.33041,-2.64467,0.682505,-0.47198,0.437814,-1.35328
-1601812367,6.4,11.7922,-10.079,7.53165,3.28004,-2.59903,0.545271,-0.535235,0.474597,-1.3907
-1601812366,6.5,12.1174,-10.3365,7.57917,3.2234,-2.54982,0.40451,-0.597423,0.509198,-1.4238
-1601812365,6.6,12.4366,-10.5889,7.61245,3.16059,-2.49727,0.260658,-0.658417,0.541549,-1.45251
-1601812364,6.7,12.7493,-10.8358,7.63121,3.09176,-2.44159,0.114157,-0.718098,0.571591,-1.47677
-1601812363,6.8,13.0548,-11.0771,7.63521,3.01702,-2.38303,-0.0345472,-0.776351,0.599278,-1.49655
-1601812362,6.9,13.3525,-11.3124,7.62425,2.93654,-2.32181,-0.185003,-0.83307,0.624571,-1.51182
-1601812361,7,13.6419,-11.5414,7.59817,2.85046,-2.25819,-0.336761,-0.888152,0.647443,-1.52257
