iteration,time,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z
1,0,0,0,0,0,0,0,0,0,0
2,0.01,6.35072e-09,9.05667e-09,2.26417e-09,2.53414e-06,3.61487e-06,9.03719e-07,0.000757173,0.00108057,0.000270142
3,0.02,1.00631e-07,1.43663e-07,3.59158e-08,2.00286e-05,2.86087e-05,7.15218e-06,0.00297993,0.0042604,0.0010651
4,0.03,5.04517e-07,7.2104e-07,1.8026e-07,6.67777e-05,9.55151e-05,2.38788e-05,0.00659623,0.00944797,0.00236199
5,0.04,1.57905e-06,2.2592e-06,5.64799e-07,0.000156363,0.000223961,5.59903e-05,0.0115355,0.0165535,0.00413837
6,0.05,3.81758e-06,5.46795e-06,1.36699e-06,0.000301667,0.000432685,0.000108171,0.0177286,0.0254889,0.00637223
7,0.06,7.83886e-06,1.12401e-05,2.81003e-06,0.000514889,0.000739551,0.000184888,0.0251079,0.0361679,0.00904197
8,0.07,1.43803e-05,2.06429e-05,5.16073e-06,0.000807559,0.00116157,0.000290393,0.0336072,0.0485057,0.0121264
9,0.08,2.42912e-05,3.49094e-05,8.72735e-06,0.00119055,0.00171492,0.000428729,0.0431616,0.0624193,0.0156048
10,0.09,3.85265e-05,5.54303e-05,1.38576e-05,0.0016741,0.00241494,0.000603735,0.0537078,0.0778274,0.0194569
11,0.1,5.81404e-05,8.37456e-05,2.09364e-05,0.0022678,0.00327618,0.000819045,0.0651836,0.0946504,0.0236626
12,0.11,8.42799e-05,0.000121537,3.03843e-05,0.00298067,0.0043124,0.0010781,0.0775285,0.11281,0.0282025
13,0.12,0.000118179,0.00017062,4.26551e-05,0.00382107,0.00553658,0.00138415,0.0906832,0.13223,0.0330575
14,0.13,0.000161153,0.000232936,5.82341e-05,0.00479684,0.00696095,0.00174024,0.10459,0.152836,0.0382089
15,0.14,0.000214591,0.000310545,7.76363e-05,0.00591519,0.008597,0.00214925,0.119192,0.174553,0.0436383
16,0.15,0.000279954,0.000405618,0.000101404,0.00718281,0.0104555,0.00261387,0.134434,0.197311,0.0493279
