iteration,time,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z
1,0,0,0,0,0,0,0,0,0,0
2,0.01,5.58278e-08,2.72892e-09,0,2.22396e-05,1.08493e-06,0,0.00662621,0.000322169,0
3,0.02,8.78684e-07,4.26085e-08,0,0.000174289,8.41708e-06,0,0.0257833,0.00123657,0
4,0.03,4.3755e-06,2.1045e-07,0,0.00057616,2.75384e-05,0,0.0564179,0.00266772,0
5,0.04,1.36013e-05,6.48768e-07,0,0.00133752,6.32537e-05,0,0.0975149,0.00454366,0
6,0.05,3.26576e-05,1.54459e-06,0,0.00255807,0.000119665,0,0.148097,0.00679589,0
7,0.06,6.65947e-05,3.12258e-06,0,0.00432793,0.000200208,0,0.207223,0.00935931,0
8,0.07,0.000121318,5.63859e-06,0,0.00672798,0.000307683,0,0.273988,0.0121722,0
9,0.08,0.000203496,9.37341e-06,0,0.00983026,0.000444288,0,0.347526,0.015176,0
10,0.09,0.000320476,1.46269e-05,0,0.0136983,0.000611654,0,0.427002,0.0183155,0
11,0.1,0.0004802,2.17127e-05,0,0.0183874,0.000810875,0,0.511618,0.0215385,0
12,0.11,0.000691121,3.09526e-05,0,0.0239452,0.00104254,0,0.60061,0.024796,0
13,0.12,0.000962135,4.26721e-05,0,0.0304118,0.00130676,0,0.693247,0.0280421,0
14,0.13,0.0013025,5.71952e-05,0,0.03782,0.0016032,0,0.788832,0.0312336,0
15,0.14,0.00172176,7.4841e-05,0,0.046196,0.00193111,0,0.886698,0.0343304,0
16,0.15,0.00222971,9.59187e-05,0,0.0555595,0.00228937,0,0.986212,0.0372953,0
17,0.16,0.00283629,0.000120725,0,0.0659237,0.00267646,0,1.08677,0.0400937,0
18,0.17,0.00355155,0.000149538,0,0.0772964,0.00309058,0,1.1878,0.0426937,0
19,0.18,0.00438558,0.000182619,0,0.0896796,0.00352958,0,1.28877,0.0450664,0
20,0.19,0.0053485,0.000220205,0,0.10307,0.00399106,0,1.38915,0.047185,0
21,0.2,0.00645031,0.000262506,0,0.117459,0.00447235,0,1.48847,0.0490256,0
22,0.21,0.00770096,0.000309708,0,0.132834,0.00497057,0,1.58627,0.0505666,0
23,0.22,0.00911022,0.000361964,0,0.149178,0.00548262,0,1.68212,0.0517889,0
24,0.23,0.0106877,0.000419396,0,0.166469,0.00600523,0,1.77562,0.0526756,0
25,0.24,0.0124427,0.000482092,0,0.184681,0.00653497,0,1.8664,0.0532123,0
26,0.25,0.0143843,0.000550107,0,0.203787,0.00706827,0,1.95411,0.0533866,0
27,0.26,0.0165213,0.000623457,0,0.223752,0.00760146,0,2.03843,0.0531884,0
28,0.27,0.0188621,0.000702123,0,0.244543,0.00813077,0,2.11906,0.0526096,0
29,0.28,0.0214148,0.000786047,0,0.26612,0.00865236,0,2.19573,0.0516442,0
30,0.29,0.024187,0.000875132,0,0.288443,0.00916235,0,2.26818,0.0502883,0
31,0.3,0.027186,0.000969242,0,0.311469,0.00965682,0,2.33619,0.0485395,0
32,0.31,0.0304185,0.0010682,0,0.335152,0.0101318,0,2.39955,0.0463978,0
33,0.32,0.033891,0.0011718,0,0.359444,0.0105835,0,2.45809,0.0438645,0
34,0.33,0.0376093,0.00127978,0,0.384297,0.0110078,0,2.51163,0.0409429,0
35,0.34,0.0415787,0.00139185,0,0.409659,0.011401,0,2.56005,0.0376379,0
36,0.35,0.045804,0.00150769,0,0.43548,0.0117593,0,2.60322,0.0339559,0
37,0.36,0.0502896,0.00162691,0,0.461706,0.0120789,0,2.64104,0.0299051,0
38,0.37,0.0550393,0.00174912,0,0.488283,0.0123562,0,2.67342,0.0254949,0
39,0.38,0.0600563,0.00187388,0,0.515156,0.0125877,0,2.70031,0.0207362,0
40,0.39,0.0653432,0.00200071,0,0.542271,0.0127698,0,2.72166,0.0156413,0
41,0.4,0.0709023,0.0021291,0,0.569571,0.0128994,0,2.73744,0.0102237,0
